gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,celltype
zgc:136461,15.258032307953147,0.21235131679074454,0.6295800285858385,18.68157942066246,0.0022030224532371624,0.03855115816195315,BrancPorEp-120
ctrb1,30.216114271683786,-0.7340232313194214,0.6065451125232708,20.13130982603326,0.001180766998460055,0.024012278662300438,BrancPorEp-120
cebpa,8.367928225865379,-2.7357163525894275,1.6522591703798506,24.797474016267728,1.5245534370662912e-4,0.005204172054099861,BrancPorEp-120
tnnt3b,47.916755252934955,0.844266655216279,0.4360790665385247,25.790849031391815,9.796803251260973e-5,0.003629373855641565,BrancPorEp-120
nqo1,9.43926052238748,0.41458834796962596,0.68120948921157,21.951903943130688,5.347363917784037e-4,0.01339890959896966,BrancPorEp-120
myo9aa,102.74239614200029,0.5921186160523664,0.4024764416969874,35.999482661215495,9.50037243565101e-7,7.965312257890557e-5,BrancPorEp-120
camk2d1,31.665695700281468,0.5615157955742873,0.4949895178587147,20.52635226489018,9.950916647326728e-4,0.0207633074750767,BrancPorEp-120
SEMA4F,26.16116070527186,1.2709370443584702,0.5104455613406056,21.15819948332134,7.561600404035641e-4,0.017290377191811642,BrancPorEp-120
stim2b,24.046276749763177,1.7167923248509307,0.6508747352332712,19.944739863827806,0.0012799238160575272,0.025486482987245512,BrancPorEp-120
swap70a,10.817659127929801,0.17759256808400295,0.7160793569988829,18.471465960004522,0.00241002972910976,0.040554690406392764,BrancPorEp-120
ppargc1a,36.12635629659342,-2.4294410812494545,0.7538202867003917,39.233975417141366,2.1307345519859802e-7,2.1665490263704254e-5,BrancPorEp-120
hk2,65.09105785203084,-0.5321937613401578,0.5391255749742951,35.482838001713674,1.2050997005367352e-6,9.598619114775097e-5,BrancPorEp-120
arap1a,22.97239244001838,0.9084979046789197,0.4987036861453899,26.845538538777333,6.113193397001883e-5,0.0024550404811537027,BrancPorEp-120
zfand5a,11.1996587587818,-1.005740080281403,0.8227787083814012,22.024564452197268,5.179983015825744e-4,0.013097957054302238,BrancPorEp-120
noxa1,16.582074832367628,3.242667288974097,0.7708358411898889,63.10787174933357,2.76516451986974e-12,9.07486300498334e-10,BrancPorEp-120
camkk1a,20.50502490744739,-1.1794427700646521,0.5518777040876384,19.251989117015754,0.001725053819533849,0.03283171899466985,BrancPorEp-120
myhz2,104.88370360508499,1.0792802967869382,0.5255383737889544,29.590234007861625,1.7756207769188407e-5,9.124399669779721e-4,BrancPorEp-120
myhz1.2,65.07348791447082,1.5254201285590163,0.46542631695849657,48.5565780676194,2.7340723201878985e-9,4.666475577920702e-7,BrancPorEp-120
myhz1.1,204.34256961613764,1.176303121418908,0.449961631600644,57.39306945302761,4.1962219563532216e-11,1.0026872364706023e-8,BrancPorEp-120
ckma,41.11510530384971,0.24983917713809328,0.4376166587600796,24.62564650702663,1.645414501195196e-4,0.005498906224623666,BrancPorEp-120
hsd20b2,11.37910676534259,0.365615906896586,0.6284610167630066,28.662339233870114,2.7005833503489423e-5,0.0013169477378895504,BrancPorEp-120
ctsla,17.734918083649713,-1.4389098556270838,0.5924730555064754,24.644046796560886,1.6320315945891103e-4,0.005492590838409407,BrancPorEp-120
si:ch211-284f22.3,9.800938245831178,1.747535674288046,0.8371804228429103,21.10177973418726,7.749644780509862e-4,0.01755239450524011,BrancPorEp-120
rasa4,53.278316576813395,-0.9387044553404079,0.44721828903551086,36.26688447160248,8.399183479017432e-7,7.167803186825768e-5,BrancPorEp-120
ABR,85.32086339468263,-0.5850481997765411,0.36119295806366764,18.204242792565324,0.0027010286755267507,0.04346200686983953,BrancPorEp-120
ak5l,7.077211299831227,0.07888758842314711,0.7621106813463409,18.664644749249973,0.0022190392905358214,0.03855115816195315,BrancPorEp-120
stip1,8.322772090987177,-0.891505758015306,1.0502454943376396,27.47065100547036,4.6180803005054874e-5,0.002024752821661993,BrancPorEp-120
vasnb,19.519388660609753,-0.2373707599631836,0.7329365569024836,18.28436375019713,0.002610341578518926,0.04257618567830016,BrancPorEp-120
abca3b,18.555269671836932,-0.24190606192631042,0.5477043238976674,20.317903783925743,0.0010891658577971033,0.022517082952922776,BrancPorEp-120
sun1,17.820703017679854,0.5929581793304907,0.5617358999316336,18.05973536444371,0.0028724638064966577,0.04515626490541949,BrancPorEp-120
hspbp1,5.4347300352830406,-0.3793238434415011,1.4230715263047664,31.54687972659552,7.303770355946965e-6,4.2566729915939687e-4,BrancPorEp-120
arl5c,13.60863647423885,1.0293707347322192,0.9645251463763123,41.0054461541051,9.35904458293044e-8,1.040159861902897e-5,BrancPorEp-120
mgat3a,15.45919911573024,0.18578587361555068,0.5883285177622993,21.6499419390163,6.102012373937514e-4,0.014878325068901722,BrancPorEp-120
atp2a1,57.80569580445552,0.2150113568277959,0.511103632273613,22.150847280679073,4.901289009817595e-4,0.012615558141335005,BrancPorEp-120
hsp70.1,6.110656726989328,1.3170324428213196,1.5758336195654512,72.63531369202065,2.895965057249595e-14,1.729977126074477e-11,BrancPorEp-120
hsp70.2,25.964359108349,-1.9442596222014534,1.625489031770947,162.27201671058924,3.2453946928305674e-33,1.5509741237037281e-29,BrancPorEp-120
hsp70.3,7.1459277863285084,-0.5299582028091987,1.7652230530135724,60.79470236812136,8.326547097363577e-12,2.4870355361437834e-9,BrancPorEp-120
fthl27,11.864984423237637,-0.11861267052744076,0.8106491867318313,22.167344957458923,4.8659906939585006e-4,0.012615558141335005,BrancPorEp-120
dnajb1a,17.701661531103472,-1.1564991972510288,0.7190115627309384,18.6065761419853,0.0022748329361102298,0.03855115816195315,BrancPorEp-120
CR394535.1,7.269129809112941,1.4672044519224237,0.7614054408239155,25.07246219166207,1.3491581498073347e-4,0.004671130887714672,BrancPorEp-120
s1pr2,12.15552661900885,0.9234904293798256,0.7295876727595733,19.883977089759227,0.0013139520713989785,0.0259478386331228,BrancPorEp-120
pvalb1,170.61212143282918,0.8683206916169893,0.4244032416218399,20.5174640469437,9.989345253813764e-4,0.0207633074750767,BrancPorEp-120
noxo1a,30.33372042889631,1.19061307721383,0.6836837542344871,23.540756098275466,2.6597057581748075e-4,0.007994172212778242,BrancPorEp-120
sec23b,36.759204408300995,1.0859375530187856,0.5953477484486029,71.69699065546007,4.542643145310771e-14,2.1709291591440173e-11,BrancPorEp-120
agap1,93.72382310534574,0.706067319326343,0.477991117378322,21.198494401260092,7.430058876228418e-4,0.01715374462294474,BrancPorEp-120
stx8,28.592334671534303,-0.42264422200579344,0.461698901148157,24.474855940565774,1.7592573643550308e-4,0.005758555441268967,BrancPorEp-120
atp1b1a,18.300960493600858,-0.34623393479213255,0.6757034191895726,18.231236703356714,0.0026701352065158297,0.04325619034555644,BrancPorEp-120
vdrb,159.60586144089424,-2.1472860323932355,0.5792554651406778,58.55405425396572,2.417453264283949e-11,6.418338416673885e-9,BrancPorEp-120
prss60.2,18.13070835250146,1.8130047387734523,0.797716726464949,29.015094267718126,2.3030020944579053e-5,0.0011585312641488768,BrancPorEp-120
