gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,time,short_cell_type,seurat_clusters,short_cell_type_cluster
actb2,16.417473637560995,-2.1037657761466355,0.7701035262874074,9.801898140551724,0.0017433183561828102,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
nsmce1,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
fn3krp,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
BX769173.2,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
dnmt1,0.48894889862782887,17.988741759917307,185.7832262413002,9.40602151317508,0.0021627399235485145,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
cenpx,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
pvalb4,12.55502144813299,-3.171191571219129,1.0971234226337578,15.702750361519385,7.41163201039852e-5,0.030582807069424407,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
cdkn2d,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
pde6ha,76.1803639424091,-5.232452462659827,1.317863797271508,13.579729517361265,2.286411795213726e-4,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
grap2b,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
pttg1ipa,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
baz2ba,7.619143303145058,2.400649031536251,0.7327890805039782,11.416689381736727,7.278728058673135e-4,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
CU639412.1,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
pnkd,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
rae1,0.48894889862782887,17.988741759917307,185.7832262413002,9.40602151317508,0.0021627399235485145,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
nprl2,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
polg2,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
znf648,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
barhl2,0.48894889862782887,17.988741759917307,185.7832262413002,9.40602151317508,0.0021627399235485145,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
hdlbpa,14.598304019504047,-2.1977131924908755,0.8145509521825108,10.081241226112478,0.0014978639950484504,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
klhl30,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
dipk1ab,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
insl5a,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
CR847887.1,0.48894889862782887,17.988741759917307,185.7832262413002,9.40602151317508,0.0021627399235485145,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
nasp,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
krt4,24.545018715476314,-2.4957357541794205,0.7329943967065881,14.622823686814932,1.3131452650383778e-4,0.040209280453866326,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
rft1,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
FAM107A,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
rplp2,22.384006631683693,-3.384174099141739,0.9098838253892179,23.249714655137307,1.4227155494231926e-6,0.001645765731671651,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
rps26l,19.009034374795736,-2.0144438276363346,0.7095619008263698,10.256446052996331,0.0013620782415010924,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
