Cluster,cell_type_cluster,cell_type_general,tissue,system,short_cell_type,short_cell_type_cluster
215,Enteric_musculature_215,Enteric musculature,muscle,musculoskeletal,EntericMus,EntericMus_215
216,Enteric_inhibitory_motor_neuron_216,Enteric inhibitory motor neuron,enteric,nervous,EnInhibMoN,EnInhibMoN_216
217,Thrombocyte_217,Thrombocyte,blood,connective tissue,Thrombocyt,Thrombocyt_217
218,Neuron_telencephalon_olfactory_bulb_218,Neuron telencephalon olfactory bulb,olfactory,sensory,NeuTelonOB,NeuTelonOB_218
219,CNS_neuron_219,CNS neuron,CNS,nervous,CNSNeuron,CNSNeuron_219
220,Radial_glial_cell_220,Radial glial cell,glia,nervous,Radialgli,Radialgli_220
221,Horizontal_retinal_interneuron_221,Horizontal retinal interneuron,eye,sensory,HorizRetIn,HorizRetIn_221
222,Cone_photoreceptor_potentially_immature_222,Cone photoreceptor potentially immature,eye,sensory,ConePhoImm,ConePhoImm_222
223,Ionocyte_Na+_K+_ATPase_Rich_223,Ionocyte Na+ K+ ATPase Rich,ionocyte,transporter,IonoNAKATP,IonoNAKATP_223
224,Cone_photoreceptor_potentially_immature_224,Cone photoreceptor potentially immature,eye,sensory,ConePhoImm,ConePhoImm_224
225,Intestine_tuft_like_225,Intestine tuft like,intestine,digestive,IntestTuft,IntestTuft_225
226,Pharyngeal_periderm_226,Pharyngeal periderm,periderm,integumentary,PharynPeri,PharynPeri_226
227,Pharyngeal_neuroepithelium_gfra3+_227,Pharyngeal neuroepithelium,epithelium,sensory,PharNeEpit,PharNeEpit_227
228,Mucous_producing_head_periderm_228,Mucous producing head periderm,periderm,integumentary,MucHeadPer,MucHeadPer_228
229,Intestinal_secretory_progenitor_229,Intestinal secretory progenitor,intestine,digestive,IntSecProg,IntSecProg_229
230,Neuron_probably_brain_230,Neuron probably brain,CNS,nervous,NeurProbBr,NeurProbBr_230
231,Pronephric_proximal_straight_tubule_231,Pronephric proximal straight tubule,kidney,pronephric,PronProxST,PronProxST_231
232,Enteroendocrine_cell_232,Enteroendocrine cell,intestine,endocrine,EnteroEndo,EnteroEndo_232
233,Stromal_cell_233,Stromal cell,stromal,connective tissue,Stromal,Stromal_233
234,Pharynx_234,Pharynx,digestive general,digestive,Pharynx,Pharynx_234
235,Muller_glia_235,Muller glia,eye,sensory,MullerGlia,MullerGlia_235
236,Pronephric_glomerulus_236,Pronephric glomerulus,kidney,pronephric,PronGlomer,PronGlomer_236
237,Sensory_epithelium_maybe_hair_cell_or_olfactory_237,Sensory epithelium maybe hair cell or olfactory,epithelium,sensory,SensEpiHCO,SensEpiHCO_237
238,Vascular_smooth_muscle_238,Vascular smooth muscle,vasculature,cardiovascular,VasSmooMus,VasSmooMus_238
239,CNS_neuron_239,CNS neuron,CNS,nervous,CNSNeuron,CNSNeuron_239
240,Osteoblast_possibly_dental_240,Osteoblast possibly dental,bone,musculoskeletal,OsteorDent,OsteorDent_240
241,Purkinje_neuron_or_retinal_ganglion_cell_241,Purkinje neuron or retinal ganglion cell,neuron,nervous,PurkorReGa,PurkorReGa_241
242,Lens_242,Lens,eye,sensory,Lens,Lens_242
243,Neuron_glutamatergic_243,Neuron glutamatergic,neuron,nervous,NeuronGlut,NeuronGlut_243
244,Skeletal_fast_muscle_or_cephalic_cranial_244,Skeletal fast muscle or cephalic cranial,muscle,musculoskeletal,SkFaMuCeCr,SkFaMuCeCr_244
245,Amacrine_cell_245,Amacrine cell,eye,sensory,Amacrine,Amacrine_245
246,Oligodendrocyte_246,Oligodendrocyte,glia,nervous,Oligodendr,Oligodendr_246
247,POSSIBLE_MULTIPLETS_cone_photoreceptors_and_nucleate_erythrocytes_247,POSSIBLE MULTIPLETS cone photoreceptors and nucleate erythrocytes,unknown,unknown,MULTConEry,MULTConEry_247
248,Fin_mesenchyme__pectoral_probably_chondrogenic_248,Pectoral fin mesenchyme probably chondrogenic,fin,connective tissue,PecFinMCho,PecFinMCho_248
249,Neuron_glutamatergic_249,Neuron glutamatergic,neuron,nervous,NeuronGlut,NeuronGlut_249
250,Epiphysis_nonvisual_photoreceptor_pineal_circadian_250,Epiphysis nonvisual photoreceptor pineal circadian,CNS,nervous,EpiphysisP,EpiphysisP_250
251,Adenohypophysis_anterior_pituitary_251,Adenohypophysis anterior pituitary,CNS,nervous,AdenohypAP,AdenohypAP_251
252,Neurohypophysis_posterior_pituitary_maybe_252,Neurohypophysis posterior pituitary maybe,CNS,nervous,NeurohypPP,NeurohypPP_252
253,Pronephric_distal_tubule_early_253,Pronephric distal tubule early,kidney,pronephric,PronDisTub,PronDisTub_253
254,POSSIBLE_MULTIPLETS_lens-cone_254,POSSIBLE MULTIPLETS lens cone,eye,sensory,MULTLenCon,MULTLenCon_254
