gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,time
FP102052.1,20.36527527796726,-0.7723821724114933,0.7371930448643834,1.0694721585813554,0.3010647031040691,NA,t4-120HF.t0-UF
si:dkey-175g6.2,8.525796355920885,1.5213421707236436,0.8965775358869674,2.947732987127768,0.08599811669402559,NA,t4-120HF.t0-UF
CR926463.1,0.7241509243550722,1.7588502026977497,2.8022951100250535,0.40925912837225553,0.5223457822160444,NA,t4-120HF.t0-UF
slc25a1a,6.126809039426276,-0.5690255966402069,1.0650118948035088,0.2874649132614273,0.5918496721488112,NA,t4-120HF.t0-UF
nle1,16.892247593506838,-0.3721871695608615,0.7113352234486644,0.2718426195703074,0.602098397398648,NA,t4-120HF.t0-UF
LTN1,57.59233467695903,0.3448153503826543,0.46423517919266505,0.5608276205423479,0.4539269737772808,0.823855118890591,t4-120HF.t0-UF
cadm2a,119.87534302367402,0.23740788962124357,0.44409988602212425,0.2878817436056522,0.5915811672838929,0.8890802663439619,t4-120HF.t0-UF
si:ch73-122g19.1,4.264175276393563,0.16847088032804605,1.1805369176488774,0.02176708821325235,0.8827083865280245,NA,t4-120HF.t0-UF
si:dkey-181c13.1,8.765275704299205,-0.5047740018608815,0.8434370450205024,0.354117869133308,0.5517913094477335,NA,t4-120HF.t0-UF
zmp:0000000924,37.15355808485712,0.5767677853438561,0.6195712251354403,0.8784254853681261,0.348633289155153,0.7561295002131491,t4-120HF.t0-UF
zmp:0000000937,1.392953162652753,1.9909636679183684,2.1666559802618917,0.9000280885292895,0.34277417969341856,NA,t4-120HF.t0-UF
CR847844.1,54.267119195780225,1.2055250303417322,0.6850106670426541,3.1614055128280327,0.0753982428710238,0.4028400507930792,t4-120HF.t0-UF
zmp:0000001103,7.1915979844319144,-0.37529474311699035,1.1302911944361957,0.10836295649052019,0.7420156392529914,NA,t4-120HF.t0-UF
CR847844.2,8.797515231454415,0.33600491057799364,0.9390971298455442,0.13167068844640895,0.7167060624073209,NA,t4-120HF.t0-UF
CU075735.2,9.269843277671583,-0.012684706926944235,0.8774282761032653,0.003953595571033475,0.9498639532235182,NA,t4-120HF.t0-UF
gbe1a,45.59401371586653,1.463262088642739,0.7544750423022856,3.8235755704411645,0.050536285958615604,0.3254446706458247,t4-120HF.t0-UF
inpp5kb,14.323929686592525,-0.7366644134885305,0.7409837050395038,0.965669120425396,0.325762668013576,NA,t4-120HF.t0-UF
