gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,time,short_cell_type,seurat_clusters,short_cell_type_cluster
vav3a,28.251734670080815,-4.657081004463285,0.8304018855026672,28.643451753199216,8.700771663829253e-8,4.792275882181257e-5,t3-60HF.t0-UF,EnteroAnte,46,EnteroAnte-2
nuak2,5.31756418503913,-4.915677872945895,1.6095428683523538,10.866576248102625,9.791537771381114e-4,0.03639340721194644,t3-60HF.t0-UF,EnteroAnte,46,EnteroAnte-2
cela1.6,30.098298493398733,-2.111107490548249,0.6516597804057033,10.051019577577932,0.0015226364799100652,0.0438806179753792,t3-60HF.t0-UF,EnteroAnte,46,EnteroAnte-2
creb3l3a,27.49993830790442,2.0598612581515003,0.6376701637447086,10.612771830439684,0.001123092060496434,0.03839339482782183,t3-60HF.t0-UF,EnteroAnte,46,EnteroAnte-2
hbp1,5.4835607286168715,-3.6970354805931844,1.1550468573016628,10.189225785819048,0.0014126361404674396,0.04205576222336114,t3-60HF.t0-UF,EnteroAnte,46,EnteroAnte-2
fads2,27.576829171804775,3.2927379038446616,0.9039127226991115,12.680617184299663,3.69465596499224e-4,0.02039911612598471,t3-60HF.t0-UF,EnteroAnte,46,EnteroAnte-2
nuak1b,9.57149805540434,4.618657040553319,1.2724534935080745,15.801318612620097,7.035346040782528e-5,0.006506877024230724,t3-60HF.t0-UF,EnteroAnte,46,EnteroAnte-2
fa2h,110.61287183354435,1.4246414130473632,0.4285124291054126,10.703924955782362,0.001069084897953911,0.03814715515716557,t3-60HF.t0-UF,EnteroAnte,46,EnteroAnte-2
cyb5r2,18.030046382329758,3.359621895638058,0.7692546838057706,20.266014923875687,6.738700485691703e-6,0.001069400617239745,t3-60HF.t0-UF,EnteroAnte,46,EnteroAnte-2
cpa5,9.554641080220517,-3.445439759808605,0.9171203772152312,13.531911548551804,2.3454103395560274e-4,0.015291306426908723,t3-60HF.t0-UF,EnteroAnte,46,EnteroAnte-2
ckmt1,28.349536559731483,3.9365942054225687,0.7198433598912057,31.93797981932976,1.591742972234157e-8,1.5825904501438105e-5,t3-60HF.t0-UF,EnteroAnte,46,EnteroAnte-2
dusp8a,56.54459896595189,2.726884385803994,0.6136098296352913,17.989990970145904,2.2206953319748335e-5,0.002848937204923843,t3-60HF.t0-UF,EnteroAnte,46,EnteroAnte-2
ugt5a2,12.06857339756853,2.8004970317052593,0.862270753292892,10.637463234926336,0.001108195795762422,0.03832430156301872,t3-60HF.t0-UF,EnteroAnte,46,EnteroAnte-2
ces2b.1,57.735360657644776,2.3401301919120767,0.6566734174199083,11.933095093426779,5.514548453979403e-4,0.027029300352902286,t3-60HF.t0-UF,EnteroAnte,46,EnteroAnte-2
CABZ01080568.1,8.252162126481641,3.8584911063386205,1.1928861663945358,11.454852841924605,7.130753576083178e-4,0.03222614428645773,t3-60HF.t0-UF,EnteroAnte,46,EnteroAnte-2
vegfab,15.363571055747153,2.83430165879008,0.8479629517341781,11.931770903542073,5.518469490935766e-4,0.025132686767290316,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
