SERINC3,-2.069411237,-0.60076528,-1.966787006,-1.337999829,0.008536718,1,0.020346379,0.158295468
rin2a,-1.212484156,-0.283185112,-1.65062251,0.065029127,0.007691495,1,0.002735112,1
asap3,-1.287817358,0.209647206,-1.800006108,0.293988929,0.007281965,1,9.77E-05,0.847605847
mfap4.5,-1.432225402,-0.221034778,-1.747522889,-0.499895064,0.00686105,1,5.35E-04,1
alms1,-1.474652995,-0.291263372,-1.365659265,-0.244057555,0.006617718,1,0.016540349,1
zgc:174906,-1.4622874,-0.219193085,-1.261280343,-0.268506053,0.006487128,1,0.042662663,1
pcmtd1,-1.449838135,-0.36114119,-1.29534766,-0.196197928,0.005966782,1,0.02440777,1
nfkb2,-1.28798202,-0.094620033,-1.428045236,-0.124352741,0.005498699,1,0.001517709,1
si:ch211-212k18.15,-1.660612521,0.072826377,-3.295309378,0.088206532,0.00536019,1,5.59E-09,1
fbxl3a,-1.217509683,-0.30029735,-1.453493157,0.492477533,0.004972557,1,0.005504344,0.860529667
si:ch211-141h20.6,-1.463808758,-0.69688715,-2.542268736,-0.235722499,0.004424982,1,2.09E-07,1
fam217b,-1.575823948,-0.092680156,-1.499777891,0.377472448,0.003636755,1,0.017961547,1
si:ch211-165i18.2,-2.733498788,-0.149906844,-5.062179178,-1.942834929,0.00350933,1,0.031832157,0.488179343
znrf2a,-1.486255085,-0.491471841,-1.734027033,0.736702113,0.003473445,1,4.31E-04,0.561190028
snx20,-1.226861491,-0.406009161,-1.211283452,-0.084364631,0.003447454,1,0.010556756,1
zgc:113100;zgc:173573,-1.400853704,-0.309538675,-1.497036108,-0.128295549,0.003262587,1,0.005859763,1
rorca,-1.504104964,-0.288535064,-1.168067332,1.123009761,0.00286261,1,0.043866282,0.111765713
ENSDART00000128672,-1.517984302,0.269071996,-2.058798754,1.186235499,0.002727657,1,1.72E-05,0.0798591
ENSDART00000144343,-1.95416483,-0.508235005,-1.752527586,-0.025405132,0.002196129,1,0.022900429,1
si:dkey-187j14.4,-2.146051629,-0.498177015,-2.357404355,0.300899251,0.001549027,1,0.008409411,1
cd83,-1.600943583,-0.644510394,-1.319847962,0.107109477,0.001536439,1,0.012934441,1
lect2.3,-1.710698635,-0.927847664,-1.604869409,-0.322991879,0.001523595,0.777120784,0.007443049,1
si:dkey-240n22.2,-1.592224624,0.084938244,-1.574850601,-0.407309466,0.001294584,1,0.002333558,1
traf4b,-1.6848379,-0.020590008,-1.400505829,0.832222953,8.90E-04,1,0.015645755,0.464424812
arhgap27l,-1.654583483,-0.150022334,-1.526728291,0.491935536,7.95E-04,1,0.003404852,1
nr0b2a,-1.651338217,-0.351231486,-3.204503502,-0.663805158,7.58E-04,1,3.93E-13,0.738236257
paqr5a,-1.857208348,-0.509133425,-2.584136153,0.27931912,7.48E-04,1,4.41E-05,1
cited4b,-1.585722189,-0.391076693,-1.187813694,0.08850882,7.19E-04,1,0.034803595,1
filip1a,-1.848538869,-0.783070653,-2.40171469,0.09538003,6.96E-04,1,5.05E-05,1
gfi1aa,-1.765913929,-0.515740466,-1.691191078,-0.109454362,6.70E-04,1,0.003192799,1
eif4e3,-1.693601068,-0.480832568,-1.472320337,0.386247969,5.73E-04,1,0.007474892,1
si:dkeyp-72g9.4,-1.701108511,-0.34069655,-2.286751501,-0.206272575,4.55E-04,1,4.83E-07,1
pdpk1a,-1.695847766,-0.0698692,-2.936070219,-0.412201188,4.35E-04,1,1.42E-11,1
znf395a,-1.643481315,-0.094625044,-1.587662458,-0.295333143,4.18E-04,1,0.001169242,1
mutyh,-1.916923173,-0.433599844,-1.453366837,-0.37630546,2.02E-04,1,0.027003036,1
aqp7,-1.782042264,-0.131216328,-2.886192417,-0.451322975,1.98E-04,1,7.71E-11,1
ENSDART00000108949,-1.884417535,-0.073312852,-2.116864505,-0.50568365,1.79E-04,1,3.76E-05,1
mxd3,-2.230541773,-0.866753017,-2.320507152,1.002331026,1.63E-04,1,0.015567763,0.559006733
cuedc2,-2.053962282,-0.661582124,-2.136058134,0.537054126,1.32E-04,1,0.003138929,0.949486359
plekhs1.4,-3.823368202,-0.15898634,-3.199341636,-0.915358444,1.08E-04,1,1.77E-05,0.584700549
nr1d4a,-2.115897466,-1.466182089,-1.501850169,-2.45179221,9.52E-05,0.075276856,0.025837047,6.02E-05
igfbp1b,-1.842214326,-0.545991814,-1.707567954,0.005036507,9.52E-05,1,5.52E-04,1
