gene,log2FC_EW1H,log2FC_EW4H,log2FC_EY1H,log2FC_EY4H,padj_EW1H,padj_EW4H,padj_EY1H,padj_EY4H
ftr28l,-0.544451794,-0.197641345,1.738991717,2.823322694,0.88703438,1,0.319968348,0.001513441
smim1,-1.081434202,-0.358887116,2.707045626,4.061085265,0.734979528,1,0.265517422,0.00409372
ENSDART00000127563,-0.37292556,-0.478257115,2.274332584,2.681806789,0.942419366,1,2.26E-06,1.07E-08
cubn,-0.11204694,-0.399364926,1.766076764,2.049462945,1,1,9.29E-05,9.63E-06
dab2,-0.003335712,-0.456429818,1.040194096,1.163763423,1,1,0.079338108,0.040443283
DAB2,0.626263864,0.615686934,0.671776072,0.00743157,0.478947018,1,0.454681671,1
si:ch211-176g13.8,0.156817693,-0.291851789,1.868115543,1.844214926,1,1,0.021131274,0.042000043
si:dkey-32m20.1,0.322494868,-0.303325192,2.605870543,2.896069544,1,1,1.10E-04,8.49E-06
tmem236,0.334609718,-0.332174101,2.656898084,2.944831937,1,1,7.77E-05,5.01E-06
FCHSD2,0.288852702,-0.159955305,1.868115543,1.844214926,1,1,0.021131274,0.042000043
ftr33,0.263889655,-0.145528844,1.64275647,1.585942761,0.75820818,1,0.033823084,0.064357196
hoxc12a,0.457573038,-0.180384973,2.100985529,2.808437001,0.979760554,1,0.10584405,0.005538315
apoeb,-0.009254706,0.119344114,1.20866952,1.584724332,1,1,0.024678758,0.002670322
ifi44a5,0.27163844,-0.262847574,4.422679469,5.347909802,0.952104501,1,7.34E-06,1.26E-09
snapc1a,-0.097017748,-0.346617765,3.663646939,4.882641028,1,1,0.385061561,0.01977988
emb,0.571767031,-1.06432125,4.006205268,3.341521858,0.963797393,1,0.031832157,0.31431796
lrp2b,0.175441569,-0.310110151,1.275717629,0.907644473,1,1,0.016936895,0.271720064
slc35f2l,0.459494041,-0.235832704,2.010775709,1.295778067,0.999223366,1,3.88E-04,0.120211791
plin2,-1.352366232,-0.83125117,5.566259083,4.357434891,0.02981074,0.93277089,9.20E-33,1.81E-21
kcnk1a,-0.142617128,-0.211449466,1.077354118,0.82807332,0.967142688,1,0.035371364,0.230184161
ENSDART00000123885,-0.230261832,0.433146967,3.04360859,2.577913564,1,1,0.005050416,0.059145398
cryaa,-0.183646791,0.314184676,3.232503302,2.372566694,1,1,0.0046318,0.184640788
paox,0.089346863,0.20198552,1.468983257,1.021029414,1,1,0.002474397,0.162836174
vtg5,0.334013851,0.173439505,4.695317718,4.224583947,0.785380176,1,1.50E-09,7.45E-06
mir203b,0.303335186,-0.036773924,5.223775163,4.355339553,1,1,0.021548344,0.434541579
zgc:85843,-0.047090125,-0.124345582,2.056137157,1.523313769,1,1,1.38E-05,0.006550914
si:dkey-220k22.3,-0.124314974,-0.140831705,1.691372845,1.283648182,1,1,0.024546251,0.304896665
hce2l2,-0.185363492,-0.118862348,1.792138016,1.558641749,1,1,0.001938714,0.016383721
si:ch211-276c2.2,-0.4348993,-0.335274869,5.581492526,4.764101647,1,1,0.00489871,0.165150249
daw1,-0.551503695,0.064111333,5.371339713,4.695939685,1,1,0.014920255,0.230327234
si:dkeyp-51f11.3,-0.757722484,-0.134755764,5.3194055,4.656473539,1,1,0.014920255,0.31431796
cln6b,-1.132834604,0.283393716,5.205241611,4.384015063,0.679781156,1,0.031832157,0.31431796
hoxc13a,-0.395939361,0.015159624,2.231223252,1.488228961,1,1,0.015961261,0.41326792
si:ch73-157i16.3,-0.341890926,0.011049058,1.648827343,1.150296318,1,1,0.049853122,0.500237635
wee1,-0.183118233,0.052727137,1.797221436,1.10261644,1,1,3.11E-04,0.143966765
ponzr10,-0.647277702,0.656371932,3.216842921,1.83946569,1,1,0.004281532,0.759980039
decr1,0.272763247,-0.117333508,0.300926056,1.191266632,0.693817117,1,0.836772475,0.01997944
fabp1b.1,0.387481751,0.242513876,0.790388377,1.342260066,0.910873891,1,0.324205369,0.027835362
tk1,0.432989301,0.137805713,0.598251005,1.113858217,0.410365521,1,0.043402769,0.019576844
hoxd13a,0.396353297,-0.044070449,0.866186798,1.933200516,1,1,0.653558793,0.016167099
si:dkey-79f11.7,0.459913627,-0.229106465,0.981153449,1.801562521,0.850281377,1,0.285643065,0.00297541
sptbn5,0.391205844,-0.121085238,0.851037267,1.589199463,0.906142681,1,0.258764388,0.003214096
mbd3b,0.320817333,-0.605151163,0.713319016,1.062179093,0.437513346,1,0.018475059,2.67E-04
nppb,1.202865884,-1.199128775,1.600254404,3.122369267,0.296181002,1,0.435855371,1.88E-04
pla2g4cl1,0.559564255,-1.213578494,2.318009953,3.169411209,1,1,0.469672881,0.022714959
si:dkey-110c1.10,0.569467867,-0.415668669,1.254054255,1.865087514,0.700495378,1,0.081371712,0.001804714
si:dkey-4p15.5,1.020446197,-1.057419328,2.649432846,3.929664789,0.544011028,1,0.454681671,0.020080145
ENSDART00000103953,-0.024352085,1.413919044,1.783992187,5.466556308,1,1,1,0.01977988
agap2,0.019652963,0.109997108,0.28938654,1.306702603,1,1,1,0.04746438
ENSDART00000125170,0.226132169,0.255151354,0.473042797,1.644461975,1,1,0.999647866,0.027835362
g0s2,-0.001884668,0.646907594,1.701881082,4.308573909,1,1,0.020915744,5.98E-17
hadhaa,0.019902796,0.24912085,0.959556036,2.598273167,1,1,0.165566772,1.11E-08
rln1,0.214726862,0.2774853,0.99501282,2.91237972,1,1,0.44616541,1.72E-07
fam114a1,-0.407772805,0.218648134,0.208315385,2.184596401,0.880786212,1,1,1.00E-06
gpd2,-0.240812248,0.444735375,0.304927128,1.87663027,0.845059567,1,0.975398829,1.61E-04
slc6a22.1,-0.017877517,0.37751457,0.269142364,1.422314653,1,1,1,0.010106216
ENSDART00000148372,-0.326616766,-0.346037384,0.642202466,2.511432904,1,1,1,0.048119473
cyp2k20,-0.102806568,-0.101185703,0.677703932,1.813461496,1,1,0.579172106,0.002968298
pla2g3,-0.47740451,-0.501795291,2.667195723,6.832723977,1,1,0.454681671,6.97E-16
lepb,-0.549696453,2.401748547,1.803240086,5.134544265,0.987628899,0.001417645,1,0.060475955
ENSDART00000058474,0.301660986,0.426506722,-0.684503472,2.507776114,1,1,1,0.006550914
ccl19a.2,0.921599828,-0.301272798,-0.455135727,3.217922207,0.258613501,1,1,1.70E-06
ppdpfa,0.441357656,0.403939837,0.056726665,1.700336779,0.783196344,1,1,8.08E-04
si:ch1073-165f9.2,0.255543608,0.09247765,0.126559117,1.381977254,1,1,1,0.027539347
ENSDART00000114239,-1.958513584,3.157930813,5.11784907,2.382149705,1,0.755493557,0.047112345,1
zgc:114046,-0.707926751,1.529960535,1.792008359,0.945088861,0.329468715,0.033239692,0.001698408,0.434541579
hist2h3c,-1.482852774,2.801387383,3.662285323,1.981474564,1,0.150208524,0.021614202,0.970987066
ENSDART00000136181,0,4.402054281,5.175240987,2.41894706,1,0.967858758,0.021548344,1
zgc:110425,-0.349475431,3.008647979,3.036485193,2.019344981,1,8.50E-06,3.59E-04,0.16806065
si:dkey-108k21.20;zgc:112234;zgc:171759;zgc:173587,-0.454274544,1.628857433,1.993422405,1.047391065,0.979760554,0.056385736,0.002176202,0.558040856
si:dkey-23a13.20,-0.263052934,3.007291234,5.184239107,1.643468884,1,0.14888078,0.047112345,1
wu:fe11b02;zgc:171759,-0.142472623,2.379754764,2.664032892,0.433012887,0.708769247,0.400017334,1.28E-06,0.759980039
si:dkey-261m9.5,-1.170663801,0.767765517,1.880063296,1.380929889,0.315686316,1,0.009579425,0.20916317
