gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,time
myhz1.1,3705.648857485966,-1.4364777112993403,0.37550059317628354,14.075855095354456,1.7558333059996555e-4,0.01800937280832674,t1-15HF.t0-UF
ckma,694.6246696464531,-1.6566947512343677,0.4403673294560237,13.483483058041628,2.4067262939782012e-4,0.022802711836166344,t1-15HF.t0-UF
apoa1a,689.9164626762051,1.6566693628588278,0.44329696324144113,13.294236638152782,2.662232164716701e-4,0.024003028710913484,t1-15HF.t0-UF
hmgcra,30.17079673517139,3.3712591287107307,0.6084178272695234,31.46330271910346,2.0324537464559392e-8,1.6230594918126713e-5,t1-15HF.t0-UF
ckmt2b,70.90612188656908,-1.5319099207008755,0.4480308944438982,11.429407788642244,7.22907235250783e-4,0.04671735774626448,t1-15HF.t0-UF
usp2b,68.93827127830623,1.6786073001620359,0.4191845613050781,15.611459117022697,7.778178739744863e-5,0.011687863269570962,t1-15HF.t0-UF
zgc:175280,54.21223175341633,1.8876064277659974,0.517437600787262,12.83982320134676,3.3931967299595463e-4,0.029181491877652097,t1-15HF.t0-UF
smyd1a,33.03269906641177,-1.6843971678777998,0.4875130538301891,11.814178860033252,5.878135100851846e-4,0.03982881844092341,t1-15HF.t0-UF
CR388047.3,303.00085847642606,2.3252165234758535,0.38855575847204005,32.94890318850685,9.461310873583052e-9,1.1534345007758156e-5,t1-15HF.t0-UF
slc25a38a,21.171031542054404,1.894150857792203,0.5530813493146332,11.7833218548639,5.976374314288807e-4,0.040250520984186064,t1-15HF.t0-UF
tlcd4b,155.16266777168485,1.3035743680637613,0.3610533752457795,12.7623742508774,3.536617015085797e-4,0.030004904415540084,t1-15HF.t0-UF
nupr1b,328.62911088374517,-1.4341595062958514,0.3932520911582912,12.868746176601732,3.3411538811035116e-4,0.029036992300326976,t1-15HF.t0-UF
arl5c,58.4380817968503,1.9924137155721642,0.4592202317288165,18.258321696458808,1.9288144721251332e-5,0.004312829159671798,t1-15HF.t0-UF
tmem86b,64.64786384685299,2.648206273748999,0.45256944537303384,32.7805981681317,1.0316945445221964e-8,1.1534345007758156e-5,t1-15HF.t0-UF
si:ch73-141c7.1,231.81599049394197,3.4919051695773518,0.4698503763151503,47.42505796994729,5.714747423770745e-12,3.1945438098878464e-8,t1-15HF.t0-UF
zgc:153968,196.43545108709682,2.3100612685382633,0.4890201461008049,20.55027674744393,5.808539316798266e-6,0.0017551207989676926,t1-15HF.t0-UF
slc16a6b,73.87039249736799,2.890138869401293,0.42249506141611415,45.15282924286252,1.822422297435487e-11,6.791560428442914e-8,t1-15HF.t0-UF
zgc:165423,45.96257178791528,1.7117523472217917,0.4838450748772749,12.331178283765787,4.454551431924415e-4,0.0325502516398137,t1-15HF.t0-UF
cyp3c3,299.9424129323564,2.6423284979266852,0.509332820181021,24.144983646741693,8.934860244802606e-7,4.5405335244042336e-4,t1-15HF.t0-UF
slc16a5b,22.703269149137263,1.705942754433193,0.5101810948551181,11.28048423461479,7.832612348977856e-4,0.04919584610200698,t1-15HF.t0-UF
sec23b,95.66941967240918,1.94083735647295,0.42549873206485317,20.024034466132676,7.647489440137375e-6,0.002137473298518396,t1-15HF.t0-UF
slc15a1b,611.7178261181333,1.9725156819617697,0.561518451035202,11.511018171267239,6.918487187745398e-4,0.045768453703546486,t1-15HF.t0-UF
atp1b1a,464.09690385699764,1.472074764485891,0.34791095322513976,17.26719363719417,3.247455261048812e-5,0.0061536525116145276,t1-15HF.t0-UF
zgc:158846,343.22212816767995,1.4094630537882167,0.35499140021564407,15.262150192333507,9.357286573070718e-5,0.012454102843682218,t1-15HF.t0-UF
entpd8,288.0123505009901,1.6478272339983062,0.4260250901555012,14.30298186277983,1.55618173768637e-4,0.016891370706149145,t1-15HF.t0-UF
rbpjl,84.83343478409425,-2.101601857332251,0.601227066628499,11.530881742517906,6.844954084894878e-4,0.04555153968400282,t1-15HF.t0-UF
mybphb,119.5425674476144,-1.3619544631556466,0.38883579909071453,11.993457100733124,5.338765862248645e-4,0.03730462646246241,t1-15HF.t0-UF
prelid3b,254.74540742301835,2.348642833214455,0.47134855339243087,22.81446740975983,1.7841755725395156e-6,7.978833160396714e-4,t1-15HF.t0-UF
higd1a,31.01608163394648,1.5569122883286377,0.46573608781763953,11.246680925949683,7.976552293845259e-4,0.04982003052803911,t1-15HF.t0-UF
myl13,121.13333131787705,-1.8794208961440193,0.4732374891596555,15.046498139152085,1.0489469424103821e-4,0.013796737430762438,t1-15HF.t0-UF
cables1,162.45055336910588,1.5214244569722537,0.39627284148812375,14.201051202328713,1.6427871370727968e-4,0.017326754898560254,t1-15HF.t0-UF
ahsg2,17.70514013797584,2.116676697839011,0.6108719046709423,12.351188639783977,4.4070578768962745e-4,0.0325502516398137,t1-15HF.t0-UF
mknk2a,283.49846681661165,1.587779259247878,0.40964255040050535,14.41118284400045,1.469271996086289e-4,0.016589570734160206,t1-15HF.t0-UF
