"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"27","ENSDARG00000032465",1520.77115591722,0.837566910012368,0.150901555050019,30.0278633022403,4.25882591245305e-08,5.25732700592727e-05,"slc1a8b"
"28","ENSDARG00000032929",1952.50599968492,0.809524168056939,0.220353190146255,13.2824806345265,0.00026789779077325,0.044910914826049,"cryba1l1"
"29","ENSDARG00000034503",15624.0164549627,0.360695140509793,0.0674622058560015,28.5077670408494,9.33233645794443e-08,9.05169976874482e-05,"per2"
"30","ENSDARG00000035859",1070.76595608009,-0.660039226717797,0.155726497236312,17.5971285320564,2.73000250728187e-05,0.00788738383965543,"angptl4"
"31","ENSDARG00000036967",6647.33854195494,0.337631964326548,0.0921756524323485,13.3830582899948,0.000253907372955016,0.0432448431919608,"smox"
"32","ENSDARG00000037421",9452.92935754769,-0.334457671473202,0.0720390416832363,21.5085948806913,3.52246363173756e-06,0.00164936322949532,"egr1"
"33","ENSDARG00000038153",2542.13459690148,0.46778301444731,0.127142270301409,13.4747871359694,0.000241790619847707,0.0426399328170391,"lgals2b"
"34","ENSDARG00000039943",885.314867871809,-0.567301248733112,0.142478924037879,15.635945775223,7.67810806714356e-05,0.0173768382406237,"tent5ba"
"35","ENSDARG00000040087",1076.6422059465,0.527771086630857,0.138497565919064,14.4190042190143,0.000146318242122387,0.0279964894051744,"epb41l4a"
"36","ENSDARG00000040298",466.992730091255,-2.79442722653622,0.322727967178602,66.1180527280831,4.24707990436529e-16,1.44177745053441e-12,"apoa4b.1"
"37","ENSDARG00000041925",428.544975766283,1.16753164789175,0.292324654141239,15.5647766866499,7.97260778081827e-05,0.0177475477140543,"cryba2b"
"38","ENSDARG00000042658",330.139190080943,-0.948273093261723,0.227251889799134,17.107125334984,3.53295101737336e-05,0.00979060038059446,"acad8"
"39","ENSDARG00000044566",1369.80441531629,0.784102236387507,0.182189303820065,18.0313735565202,2.17294225817926e-05,0.00668582407286492,"fabp6"
"40","ENSDARG00000045677",160180.510973321,-0.276995182666038,0.0703728493841473,15.4331761984575,8.54744584491518e-05,0.0187202850206618,"opn1sw1"
"41","ENSDARG00000052242",772.12300451758,-0.545451490081778,0.132616917706531,16.8270113499268,4.09463211449236e-05,0.0109021587220964,"AFF2"
"42","ENSDARG00000052575",1568.69211657029,0.605065150566139,0.154573133452273,15.217771119859,9.57976666206714e-05,0.0206481986514619,"arl13a"
"43","ENSDARG00000052994",2773.37141104269,-0.297460558390255,0.0708009499746578,17.6179974271732,2.700208536391e-05,0.00788738383965543,"slc25a28"
"44","ENSDARG00000053862",240.665227029223,1.74233433390719,0.411314900030992,16.9161448503909,3.90678820424743e-05,0.0106100554050952,"crygmx"
"45","ENSDARG00000054641",1045.46925305616,-0.675500379250114,0.154578738457957,18.9234287471831,1.36071273198379e-05,0.00486239952305472,"tent5ab"
"46","ENSDARG00000054807",733.069962421592,-0.810299825224773,0.223029925441608,13.0139536756538,0.000309178473236009,0.0493921704479031,"sec13"
"47","ENSDARG00000054814",765.322974323094,0.602247806949585,0.146769132156591,16.6987563078928,4.38097095164123e-05,0.01144023164468,"ENSDARG00000054814"
