gene_id	mut_hf_R1	mut_hf_R2	mut_hf_R3	mut_nf_R1	mut_nf_R2	mut_nf_R3	wt_hf_R1	wt_hf_R2	wt_hf_R3	wt_nf_R1	wt_nf_R2	wt_nf_R3
ENSDARG00000040557	128	268	96	266	383	232	142	165	279	202	202	277
ENSDARG00000040559	91	180	188.01	70	66	54.001	229	178	202.083	17	75	44
ENSDARG00000040564	1113	2023	1249	1392	1061	1017	1006	1742	1821	1063	1089	1309
ENSDARG00000040565	4402	7024	3328	6679	13032	5665	6752	8044	10027	5637	8434	8875
ENSDARG00000040566	452	537	499	254	93	186	269	266	800	161	180	188
ENSDARG00000040568	33	35	11	16	0	0	7	15	27	19	0	4
ENSDARG00000040571	210	391	206	199	175	142	360	314	360	158	186	241
ENSDARG00000040582	176	299	168	270	248	293	121	285	253	132	199	306
ENSDARG00000040584	28	147	112	0	48	107	94	149	145	132	60	236
ENSDARG00000040594	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000040601	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000040606	892.689	1044.954	641.759	854.846	823.347	569.284	911.878	1453.899	1149.458	742.975	551.981	1153.683
ENSDARG00000040607	933.081	1444.854	882.459	1290.018	664.952	883.477	1164.996	1527.321	1301.896	986.576	728.97	986.015
ENSDARG00000040608	24	12	41	11	54	18	0	18	47	0	27	0
ENSDARG00000040610	335.057	192	273	329.009	314	294	466	368.97	513	315.375	505	451
ENSDARG00000040614	2562	4168	3500	2330	1724	2079	3416	3701	4424	1622	2042	3322
ENSDARG00000040615	311.699	568.392	441.592	422.58	523.292	342.107	618.519	565.146	709.652	295.745	324.056	581.694
ENSDARG00000040620	678	736.011	818.144	593.01	861	450.024	694.254	777	879.755	453.081	590.093	549
ENSDARG00000040621	23	32	35	14	2	0	29	12	8	0	0	0
ENSDARG00000040623	881	809	782	330	502	268	548	842	886	259	479	467
ENSDARG00000040627	396	611	458	96	95	208	433	476	433	201	59	272
ENSDARG00000040628	0	7	0	59	0	0	6	27	29	0	0	29
ENSDARG00000040632	24	14	0	28	0	22	36	5	4	13	0	0
ENSDARG00000040633	16	41	13	0	0	12	0	18	17	36	0	0
ENSDARG00000040635	142	321	229	86	174	159	208	235	364	77	74	57
ENSDARG00000040640	303.883	299.153	311.47	227.835	155.253	150.699	196.884	618.911	305.773	130.664	205.016	140.724
ENSDARG00000040643	373.699	64.907	141.229	357.511	92.238	248.957	120.867	325.339	122.778	213.7	104.152	124.156
ENSDARG00000040644	317	512	366	343	468	363	315	362	391	273	434	411
ENSDARG00000040649	55	43	39	147	122	112	72	81.002	60	76	87	58
ENSDARG00000040650	785	1525	1101	1436.999	802	940	1051.001	1204	1217	988	973	1099
ENSDARG00000040657	1329	1732	1338.75	1596	1839.927	1438	1399	1625	1534.838	1579	1843	1595.854
ENSDARG00000040666	270	528	378	663	302	477	321	396	517	528	464	626
ENSDARG00000040668	3	0	30	0	0	0	27	4	16	0	0	2
ENSDARG00000040674	287	410	285	306	283	269	224	351	475	260	328	429
ENSDARG00000040678	346	678	530	508	427	637	502	705	752	418	465	392
ENSDARG00000040683	36	135	103	349	259	140	101	70	69	100	132	166
ENSDARG00000040684	200.675	344.237	176.362	103.659	187.3	81.787	183.837	188.338	308.145	174.103	63.354	130.032
ENSDARG00000040695	2	47	22	1	27	3	16	50	30	91	12	29
ENSDARG00000040698	332	521	401	689	330	310	476	540	532	157	267	458.012
ENSDARG00000040700	0	7	0	0	0	0	0	0	11	0	0	0
ENSDARG00000040701	19	20	41	0	0	0	15	8	57	0	6	30
ENSDARG00000040703	0	18	0	0	0	0	0	0	0	0	0	0
ENSDARG00000040705	284.001	444.525	243.009	167	289.149	219.026	392	360.474	376.039	50	230.952	366.365
ENSDARG00000040707	106	224	122	84	149	76	92	111	153	88	132	169
ENSDARG00000040712	62	152	72	1	45	78	73	44	81	28	31	26
ENSDARG00000040713	464.123	729.718	401.579	512.289	528.906	528.701	720.517	825.594	758.591	303.019	609.913	660.816
ENSDARG00000040717	58	63	39	15	85	75	59	78	73	16	68	59
ENSDARG00000040725	234.193	84	165.976	402.611	234.918	220.196	156.014	224.84	120.322	104	201.186	190.395
ENSDARG00000040727	220	236.999	282	311.999	222	281	147	297	204	241	104	228
ENSDARG00000040730	422	609	514	652	419	487	331	491	394	357	522	619
ENSDARG00000040732	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000040735	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000040736	0	4	4	0	0	0	0	6	0	0	0	0
ENSDARG00000040738	92	111	62	55	85	63	61	27.996	40	37	55	89
ENSDARG00000040741	1123	1486	1072	1061	1124	836	1725	1606	1522	942	1014	1172
ENSDARG00000040747	664.733	1261.469	968.336	916.041	396.796	448.579	269.806	794.572	744.38	855.917	786.423	482.895
ENSDARG00000040764	4111.054	7876.345	5162	6297	4907	5178	4726	5651.434	6487.322	3972	3947	4685.624
ENSDARG00000040765	0	0	13	0	0	0	0	7	13	0	0	0
ENSDARG00000040777	133	259	177	218	58	70	211	226	232	88	255	227
ENSDARG00000040778	3	35	43	115	0	31	8	36	57	0	8	18
ENSDARG00000040779	414	470	640	461	278	155	565	620	674	234	172	409
ENSDARG00000040781	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000040799	779	980	816	687	608	448	804	998	901	482	894	855
ENSDARG00000040803	344	599	417	270	301	246	462	477	618	231	290	366
ENSDARG00000040812	144.659	130.988	131.979	93	109	105.852	17	130.806	124.681	47	116.994	137
ENSDARG00000040815	31	60	19	94	72	64	11	117	29	99	44	36
ENSDARG00000040816	0	0	0	0	0	0	0	17	3	0	0	0
ENSDARG00000040822	1500	2268	1541	1174.999	1125	928	1389	2216	2129.001	887	1017	1681
ENSDARG00000040838	533	820	673	678	586	643	724	740	980	193	545	708
ENSDARG00000040841	1	28	53	18	0	2	0	32	52	0	38	82
ENSDARG00000040851	2.124	33.071	47.28	0	0	0	40.075	24.013	39.932	0	0	17.027
ENSDARG00000040853	87	267	244	212	110	106	136	162	213	73	37	28
ENSDARG00000040854	468	869	645	601	480	559	573	655	763	511	415	611
ENSDARG00000040861	369	624	453	375	389	343	519	543	641	307	294	394
ENSDARG00000040864	596	814	894	582	227	407	950	828	904	561	724	730
ENSDARG00000040869	24	14	0	0	0	2	6	28	5	0	0	21
ENSDARG00000040874	237.544	615.132	334.028	202.71	238.204	310.318	363	315.605	482.146	239.099	149.157	133.012
ENSDARG00000040881	446.807	808.837	919.787	674.336	770.506	450.888	639.006	880.397	721.034	538.006	482.357	725.001
ENSDARG00000040884	4224.84	6017.489	4928.473	5078.899	4666.913	4619.175	4341.732	5016.905	6681.973	4057.017	4963.463	5427.449
ENSDARG00000040890	441.206	465.676	446.811	422.093	391.739	438.002	470.095	711.553	633.2	391.865	697.316	620.602
ENSDARG00000040898	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000040901	5	10	9	0	0	1.017	0	0	13	0	0	0
ENSDARG00000040902	0	0	0	0	0	0	0	0	8	0	0	0
ENSDARG00000040907	83	56	48	63	46	66	42	62	86	52	0	60
ENSDARG00000040910	36	42	21	0	0	0	11	22	9	9	0	25
ENSDARG00000040911	0	0	0	0	5	0	0	0	0	0	0	0
ENSDARG00000040912	220.635	329.945	269.482	163.883	143.588	234.307	295.234	213.506	285.851	300.794	188.734	220.534
ENSDARG00000040917	184	444	285	432	393	184	361	459	506	186	124	271
ENSDARG00000040920	52.082	81.917	49.416	0	10	22.253	56.283	30.089	38.04	0	0	59
ENSDARG00000040921	0	0	0.972	0	0	0	129.677	87.85	126.495	130.861	149.311	108.246
ENSDARG00000040925	27	21	30	0	0	3	13	0	30	0	0	0
ENSDARG00000040926	4490	5594	4021	4397	3477	2497	3941	6360	5698	3290	3500	4395
ENSDARG00000040930	647	793	568	1000	1016	620	877	1071	1208	411	928	951
ENSDARG00000040938	0	0	0	0	0	0	0	0	0	0	0	2
ENSDARG00000040942	1486	1551	1383	1324	797	679	1765	1827	1532	1363	1221	1725
ENSDARG00000040944	136	187	112	188	351	76	227	227	334	163	426	302
ENSDARG00000040946	254	294	274	397	228	150	337	329	445	293	254	325
ENSDARG00000040948	210	311	275	26	43	57	238	306	308	72	39	122
ENSDARG00000040955	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000040959	117.482	153.063	74	37.138	16	31	155.501	274.324	139.266	39	53	49.255
ENSDARG00000040965	261.999	334	200	685.999	330	347	245	270	230	382	305	459.999
ENSDARG00000040966	374	473	558	613	617	321	521	600	764	467	209	596
ENSDARG00000040971	4756.88	8248.001	5869	6565	4421	5385	4974	6367	7407	4624	5372	5245
ENSDARG00000040982	47	105	92	80	65	21	50	30	140	0	25	18
ENSDARG00000040984	31	95	32	84	26	42	50	10	50	40	19	17
ENSDARG00000040985	34.32	57.946	90.669	65.871	101.396	113.191	41.082	50.05	64.563	104.777	99.821	90.18
ENSDARG00000040988	7076	11129	7270	8637	6586	6439	7245	8994	9858	6896	6865	8156
ENSDARG00000040990	469.894	949.625	695.178	554.713	370.054	469.581	498.846	621.947	769.244	415.06	306.355	307.243
ENSDARG00000040991	2171	4633	3409	3436	3283	3002	2565	2927	3752	2283	2282	2940
ENSDARG00000041003	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000041005	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000041006	91.162	219	142	100.012	132.01	32	121.004	96.004	93	26	57	23
ENSDARG00000041007	42.231	0	57.3	0	76.975	31.811	54.713	0	26.587	159.78	0	41.917
ENSDARG00000041011	143	317	305	147	190	157	139	277	286	127	219	227
ENSDARG00000041019	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000041022	3887.701	6542.658	4953.463	3228.848	2503.785	2885.065	5700.259	6909.068	7293.04	2204.531	2840.607	3168.777
ENSDARG00000041024	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000041030	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000041032	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000041033	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000041034	8	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000041040	168	253	258	172	92	87	262	254	302	173	184	128
ENSDARG00000041041	10	38	0	0	0	0	0	0	37	0	2	3
ENSDARG00000041051	105	141	130	146	198	98	44	203	104	75	232	261
ENSDARG00000041060	26.379	70.11	63	17	0	0	16	31.976	33.82	61.923	4.152	41.456
ENSDARG00000041062	3483	5441	4317	5000	4124	2866	3786	4608	5323	3452	3352	4148
ENSDARG00000041065	272.103	349.669	259.815	188.75	161.52	184.964	225.039	179.388	343.88	111.886	234.508	230.408
ENSDARG00000041068	763	1036	510	661	643	470	1107	1218	1174	406	684	536
ENSDARG00000041071	289	374	364	160	199	117	174	358	347	200	273	239
ENSDARG00000041072	578.012	916.047	449	744.009	701	590	512.99	483.386	745.141	339	520	982.001
ENSDARG00000041073	47	142	77	0	27	20	0	84	107	30	40	44
ENSDARG00000041078	4752.937	6927.259	5024.286	6827.117	4677.081	4550	4413	5426.99	5642.226	6606	5006.005	6161
ENSDARG00000041080	46	50	27	0	71	33	47	77	87	153	40.019	27
ENSDARG00000041081	1708	2217	1849	1669	1945	1187	1720	2105	2248	1579	1743	2211
ENSDARG00000041083	112	155	25	115	96	76	159	94	122	131	15	46
ENSDARG00000041085	38	80	24	28	0	56	74	95	93	0	54	40
ENSDARG00000041086	84	227	149	52	44	76	66	126	137	89	53	118
ENSDARG00000041092	267.351	245.63	124.053	288.796	310.919	189.043	97.451	166.721	236.749	176.773	229.516	126.671
ENSDARG00000041098	0	0	1	0	0	11	0	0	0	0	0	0
ENSDARG00000041107	74	120	43	154	141	41	16	100	106	193	27	83
ENSDARG00000041108	130	184	64	122	99	56	228	139	94	50	61	74
ENSDARG00000041110	506	499	687	342	351	398	133	397	462	596	243	396
ENSDARG00000041113	201	457	418	156	79	214	312	398	338	239	236	265.896
ENSDARG00000041115	82	66	19	56	41	30	13	25	37	71	86	43
ENSDARG00000041117	6	10	50	0	24	74	0	8	25	73	55	0
ENSDARG00000041119	9	13	0	58	6	41	17	26	12	0	0	15
ENSDARG00000041133	15	0	0	0	0	23	0	0	18	0	0	0
ENSDARG00000041137	240.718	285.804	333.603	267.216	187.775	76.013	290.472	289.802	251.781	203.381	121.057	137.952
ENSDARG00000041140	1034	1592.015	1354.001	3482	2218.002	2955	1125	1275	1322.999	3152	2608	2797.001
ENSDARG00000041141	93	50	43.335	107	32	26	75	49	58	5	29	6
ENSDARG00000041145	85	207	54	222	208	163	161	150	266	109	343	226
ENSDARG00000041150	2843.394	4542.006	3109	3399.106	3108.008	2670	3421.328	3754.988	4249.874	2992	3218	4237
ENSDARG00000041155	1528	2334	1820	1304	1047	1471	1985	1930	2080	1109	1407	1617
ENSDARG00000041159	29.594	53.483	4.236	29.598	0	66.579	69.541	22.76	73.865	47.816	14.082	3.249
ENSDARG00000041165	55	51	38	60	0	31	0	80	39	100	0	22
ENSDARG00000041170	432	734	741	429	449	367	644	647	762	285	374	541
ENSDARG00000041171	25.408	0	27.569	118.33	53.643	0	0	0	0	0	45.338	0
ENSDARG00000041173	43.186	150	98	90	70	136	68	99	54.039	191	133	59
ENSDARG00000041179	67	12	0	57.693	0	0	25	6	2	0	0	16
ENSDARG00000041182	34108	58079.909	44581.808	52195	37426	47397.95	38703	48241.998	53873.059	33012	39747.899	47149
ENSDARG00000041199	209	306	212	382	254	159	354	308	343	100	235	384
ENSDARG00000041203	1708	2609.268	2270	1934	847.055	1071.004	1748	2075.48	2309.026	987.41	1370	1671.705
ENSDARG00000041205	1144.315	1493.935	1131.258	1278.587	817.345	724.202	1329.089	1221.709	1664.959	928.341	631.283	1229.073
ENSDARG00000041215	167	426	173	248	180	381	264	327	382	255	173	258
ENSDARG00000041217	1536	2290	2012	2272	1464	1916	1850	1677	1799	1596	1683	2319
ENSDARG00000041220	53.82	17.973	1.009	12	15	59.992	0	49.45	24.122	22	13.28	15.083
ENSDARG00000041221	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000041223	253.536	387.016	329	354	71	101	231.002	336.008	351.01	226	291.059	200
ENSDARG00000041226	575	1286	903	1410	700	839	695	902	1111	691	917	868
ENSDARG00000041232	16217	23183	22243	25736	21570	23269	19684	20028	25394	14847	20374	22387
ENSDARG00000041237	51	198	65	115	0	74	134	107	202	93	52	187
ENSDARG00000041239	34	44	44	0	41	3	0	21	59	0	55	7
ENSDARG00000041243	1308.254	2102.615	1443.615	2201.816	1199.303	1364.849	1616.062	1496.201	1962.814	1306.286	1519.967	1908.42
ENSDARG00000041248	8	0	0	0	14.007	0	0	0	0	0	0	0
ENSDARG00000041252	30	99.418	121	121	46	11	107	135.285	105	68	15	14
ENSDARG00000041257	0	29	2	21	0	43	14	34	26	32	0	15
ENSDARG00000041292	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000041294	107.767	112.863	179.018	87.094	44	92.726	192.216	91.234	149.09	35.175	40.025	129.905
ENSDARG00000041295	30	52	10	69	35	147	0	5	43	47	43	5
ENSDARG00000041299	248.665	69.554	93	331.027	7	71.818	105.238	103.981	117.363	31.002	43.426	42
ENSDARG00000041300	264	515	323	495	215	538	288	316	377	545	282	421
ENSDARG00000041301	5	8	28	42	31	88	53	2	17	34	31	15
ENSDARG00000041304	600	778	632	938	1051	689	620	727	677	1009	1141	1136
ENSDARG00000041306	1158.806	1682.188	1418.73	1123.795	885.507	1330.472	1312.906	1663.14	1883.418	1182	1446.576	1407.852
ENSDARG00000041314	2135	3489	2896	1951	1643	2337	2244	3037	3299	1926	2060	2237
ENSDARG00000041317	674	1383	974	1435	522	828	1090	748	1005	492	727	957
ENSDARG00000041323	1426	2338	1487	1476	1506	1259	1655	2120	2347	894	1511	1816
ENSDARG00000041332	932.799	934.198	787.766	755.694	771.208	601.431	1132.614	1308.681	1572.245	658.751	774.04	1089.863
ENSDARG00000041333	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000041339	103	270	110	173	155	75	209	201	192	98	159	232
ENSDARG00000041340	646.063	1040.397	626.103	754.459	475.151	518.244	788.587	1081.321	890.486	398.209	561.07	675.442
ENSDARG00000041348	39	2	18	25	0	13	13	28	40	72	67	19
ENSDARG00000041350	88	94	102	83	211	165	100	120	136	52	67	102
ENSDARG00000041358	2	29	3	0	0	6	26	0	33	0	0	0
ENSDARG00000041359	450	635	398	347	435	310	606	617	647	260	391	368
ENSDARG00000041361	189	424	419	346	186	269	282	251	297	271	334	524
ENSDARG00000041362	1099.018	1807.779	1443.584	1432.032	1114.83	974.168	1330.096	1703.966	1775.871	1179.783	1273.821	1179.949
ENSDARG00000041363	1299	1456	858	1017	1092	942	959	1478	1348	537	1071	1330
ENSDARG00000041372	45	63	37	108	45	155	91	73	45	83	38	98
ENSDARG00000041375	5	11	13	0	0	0	0	1	11	0	0	0
ENSDARG00000041376	73	238	154	195	56	133	136	130	167	103	80	113
ENSDARG00000041378	0	0	0	0	0	0	0	0	0	27	0	0
ENSDARG00000041379	0	7	11	18	0	0	0	3	0	0	61	1
ENSDARG00000041381	240	390	292	173	144	134	132	208	229	198	139	241
ENSDARG00000041382	156	410	286	116	115	215	290	157	254	143	71	119
ENSDARG00000041389	0	13.475	0	0	0	0	0	0	0	0	0	0
ENSDARG00000041391	3109	4684	3429	2796	2832	2662	3409	3928	3963	2295	2744	3498
ENSDARG00000041394	246.172	395.052	333.736	113.282	139	160.657	306.165	217.951	193.17	17.41	95.974	91.562
ENSDARG00000041397	589	859	538	519	353	653	607	656	572	576	373	612
ENSDARG00000041399	0	11.761	0	0	0	49	0	0	0	0	0	30
ENSDARG00000041400	1578.996	2463.829	1999.044	2193	1229.998	1495.998	1773.995	2392.454	2245.856	1046.932	1552.998	1424.018
ENSDARG00000041402	579	1189	944	702	899	809	986	1031	1292	440	513	716
ENSDARG00000041407	694	1022	645	678	413	707	953	950	912	472	522	611
ENSDARG00000041411	126	155.43	191.141	139	223	127	196	227	135.238	181	175.9	138
ENSDARG00000041413	40	102	7	44	0	0	47	80	77	21	37	53
ENSDARG00000041414	14	102	101	39	41	43	35	71	180	21	40	33
ENSDARG00000041417	5735.004	8527.831	5999.297	6575.795	5222.087	4377.241	6156.05	6714.507	7378.718	4749.031	5180	6718.337
ENSDARG00000041421	1564.958	1673.637	1332.63	893.044	916.758	1185.623	1532.39	1769.818	2244.191	880.545	724.986	1160.171
ENSDARG00000041428	126	167	136	107	233	15	147	132	84	116	91	109
ENSDARG00000041429	271	601	481.001	357	270	224	249	422	502	305	274	342
ENSDARG00000041430	65	181	108	62	28	101	53	130	144	83	73	142
ENSDARG00000041431	144.246	261.178	192.179	156.441	0	173.906	108.566	148.463	168.627	112.033	114.454	90.97
ENSDARG00000041433	2148.984	4570.823	3700.999	3775.007	3179	2286	2477.688	3391	3588.999	2588	1576.001	2061.99
ENSDARG00000041435	20190	34679	27259.016	32059	22709	27393	23994	29135	34813	20967	23231	30025
ENSDARG00000041449	2909	5095	3514	3406	2242	2526	3347	3821	4682	1972	2933	3470
ENSDARG00000041450	3567	5327	3838	3987	3125	2761	3815	4463	5237	3021	3055	3655
ENSDARG00000041454	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000041462	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000041481	486	1055	712	526	417	676	581	584	743	537	477	465
ENSDARG00000041483	43	40	25	87	0	60	13	43	44	0	0	21
ENSDARG00000041490	0	0	5	0	0	0	35	41	59	0	0	0
ENSDARG00000041492	8	12	0	0	33	44	0	0	7	41	0	0
ENSDARG00000041493	80	91	112	0	54	82	44	99	202	80	61	43
ENSDARG00000041502	221.743	308.681	204.094	189.263	218.592	350.378	373.94	316.427	294.544	114.944	188.826	191.706
ENSDARG00000041503	289.442	347.769	418.157	585.474	493.261	224.679	242.538	325.284	405.003	268.216	245.929	307.003
ENSDARG00000041505	130	104	94	140	164	49	24	123	110	179	135	47
ENSDARG00000041511	12	49	0	35	4	0	46	42	42	24	35	3
ENSDARG00000041515	6	11	20	30	0	0	12	0	12	0	0	0
ENSDARG00000041530	236	340.001	174	303	196.734	214	157.002	232.05	312.001	511.999	185	219.999
ENSDARG00000041533	396	508	344	305	179	379	329	345	414	387	248	226
ENSDARG00000041538	284	685	491	631	274	414	390	572	458	358	443	381
ENSDARG00000041540	30.365	64.593	15.273	0	0	11.868	16.024	19.649	21.805	54.568	0	0
ENSDARG00000041546	44	0	0	0	0	0	33	0	0	0	4	9
ENSDARG00000041550	369.361	205	282.097	675.394	152	497.998	256.062	435.168	299.164	348.867	208.024	149
ENSDARG00000041554	0	12	0	0	0	0	0	0	3	0	0	0
ENSDARG00000041560	61	131	46	94	80	32	68	121	185	4	60	51
ENSDARG00000041565	73	204	111	253	83	162	112	132	152	85	196	78
ENSDARG00000041569	1399.52	2222.264	1676.915	902.173	1162.437	1258.399	1451.837	3248.986	2368.326	789.305	722.57	1545.569
ENSDARG00000041570	448.001	776.097	665	716	543	458	814	632	855.122	460	468	641
ENSDARG00000041572	66	149	205	17	42	18	128	99	240	12	40	30
ENSDARG00000041575	210	429	278	394	359	315	284	236	393	87	138	326
ENSDARG00000041576	143	224	300	95	75	134	116	288	168	178	72	203
ENSDARG00000041581	3712	5154	4528	4558	2539	4012	4123	4851	4647	3573	2925.001	4113
ENSDARG00000041586	530.708	648.59	543.013	670	551.982	522.462	671.359	818.806	799.592	413	518.111	849.385
ENSDARG00000041589	16.87	37.137	56.108	108.964	0	7.352	45.354	23.346	56.221	63.96	23.15	30.246
ENSDARG00000041592	929	1397	838	999	595	925	1009	783	1135	948	587	957
ENSDARG00000041595	253.48	507.735	396.085	314.827	80.563	257.601	264.163	970.014	541.674	73.695	31.43	215.431
ENSDARG00000041599	4060	4502	3992	5852	5030	4325	4845	4510	5141	4795	5321	6150
ENSDARG00000041600	168	321	223	245	106	165	284	360	265	137	63	253
ENSDARG00000041602	647.878	1259.784	844.628	1075.248	922	711.177	659.944	666.751	990.239	693.915	499.924	907.046
ENSDARG00000041607	681	701	620	1160	1220	997	681	750	683	1021	989	1395
ENSDARG00000041609	1481.253	1863.748	1385.069	1750.378	1675.522	1375.461	1879.363	1993.278	2253.187	2050.092	1899.224	2348.461
ENSDARG00000041616	45	84	29	18	18	0	142	35	123	0	0	25
ENSDARG00000041617	115	115	85	194	179	128	149	141	132	152	106	94
ENSDARG00000041619	26178	47758	36258	36046	29557	29818	31547	34640	42228	23815	26538	31639
ENSDARG00000041621	1416	2332	1847	1559	922	1750	1207	2090	2542	1188	1170	1493
ENSDARG00000041623	6380	7469	6867	13660	11309	9795	7617	8342	6993	7182	10326	8541
ENSDARG00000041631	860	1120	840	1412	906	779	821	1052	1066	782	891	940
ENSDARG00000041644	78.565	43.841	34.32	84.228	21.075	14.77	83.251	70.756	57.601	57.753	0	54.381
ENSDARG00000041645	154.058	199.81	230.389	140.97	32.055	74.15	181.84	322.342	247.597	248.817	0	409.145
ENSDARG00000041660	0	15	5	0	0	0	0	20	0	0	19	19
ENSDARG00000041665	2849	4150	3059	3473	3306	3291	2535	3146	3459	3308	3377	3129
ENSDARG00000041685	79.635	161.253	109.986	132.749	68.384	48.236	284.355	372.241	187.705	34.866	14.569	126.007
ENSDARG00000041689	1662	2440.001	2107.001	2497.999	1988.999	2254	1981	2371.999	2585	1713	1933	2540
ENSDARG00000041691	1022	1213	910	2567	2581	2048	1143	1474	1619	923	1695	2104
ENSDARG00000041699	21	13	64	46	0	31	0	17	17	0	15	0
ENSDARG00000041702	11	0	0	0	0	0	0	18	0	0	0	0
ENSDARG00000041703	331.103	375.009	359.999	302	378.781	524.666	528.081	346.256	446.404	59	210.014	429
ENSDARG00000041705	15	0	0	0	0	0	29	11	0	0	0	0
ENSDARG00000041706	0	0	2	0	0	0	0	7	0	0	0	0
ENSDARG00000041708	540	984	698	739	598	609	738	991	892	564	600	794
ENSDARG00000041715	78	98	78	246	101	44	116	168	127.638	19	121	225
ENSDARG00000041720	1098.181	1944.072	1421.753	1368.814	770	999.304	1098	1437.805	1534.62	930	855.545	1168.46
ENSDARG00000041723	107	329	311	285	147	130	100	194	239	79	145	299
ENSDARG00000041724	5	24	0	77	29	18	0	7	5	18	9	0
ENSDARG00000041728	2151.466	3359.932	2738.765	2286.705	1766.032	1746.433	2280.565	2703.596	3176.13	1872.17	1874.558	2536.522
ENSDARG00000041729	310	395	264	226	210	277	338	392	176	187	187	256
ENSDARG00000041734	78	192	116	25	49	76	58	108	105	69	9	51
ENSDARG00000041735	4800	6736	5962	3295	2439	3292	5831	5834	6960.999	3138	3553	3628
ENSDARG00000041736	38	82	77	32	0	93	127	119	113	0	47	53
ENSDARG00000041747	0	0	0	0	23	5	0	0	0	0	30	5
ENSDARG00000041750	1667.934	2078.75	1909.375	2335.986	1917.705	1851.004	1641.294	1922.192	1921.113	1133.106	1564.885	1885.302
ENSDARG00000041776	359	834	602	366	211	424	332	564	587	167	209	372
ENSDARG00000041779	62	89	56	57	121	45	45	64	37	98	109	18
ENSDARG00000041787	25	0	0	2	0	7	58	11	11	34	0	0
ENSDARG00000041791	32	44	10	38	0	9	34	5	44	14	22	0
ENSDARG00000041792	0	3	0	0	0	0	0	0	0	0	0	0
ENSDARG00000041797	138.9	98.319	69.617	75.676	90.166	124.606	98.061	91.994	83.134	98.576	88.309	55.126
ENSDARG00000041799	6613	8910	6910	6455	6419	4458	6773	7302	8721	4649	5971	6313
ENSDARG00000041802	48	156	116	48	90	110	108	142	68	0	60	48
ENSDARG00000041811	39330	69110	51635	68685	40959	60512	47545	55865	63690	46488	43081	54976
ENSDARG00000041828	0	4	0	0	0	0	0	4	2	0	0	0
ENSDARG00000041830	182	284	166	255	437	168	98	309	247	420	66	362
ENSDARG00000041835	0	0.863	19	0	0	0	0	0	0	0	0	5
ENSDARG00000041839	678	836	600	707	418	341	676	929	836	471	740	605
ENSDARG00000041848	0	0	25	35	45	12	0	19	21	20	0	18
ENSDARG00000041853	4477.019	7485.991	4853.346	6031.204	5084.003	3777.071	5250.654	5007.114	5518.54	4733.001	5472.486	6959.582
ENSDARG00000041858	0	0	0	0	0	0	0	8	0	0	0	0
ENSDARG00000041864	758	483	310	1087	518	775	264	260	418	341	352	837
ENSDARG00000041869	131.337	290.641	160.24	97.889	161.468	209.091	142.16	263.951	232.184	45.974	126.837	166.007
ENSDARG00000041870	964	2201	2024	1193	704	807	1543	1680	1594	430	920	1315
ENSDARG00000041873	3	8	28	28	0	0	0	0	0	0	0	19
ENSDARG00000041875	1853	2758	2328	2255	1864	1659	2288	2630	2888	1735	1703	2504
ENSDARG00000041878	1708	2639	2002	1767	1700	1343	2387	2532	2650	884	1930	1934
ENSDARG00000041887	1489.213	2171.827	1394.804	1809.281	1418	1141.934	1503.013	1898.068	1895.39	1426	1343.028	2020.968
ENSDARG00000041895	626.001	1033.999	881	784	601	690.999	704.001	1018	919.001	595	842	998
ENSDARG00000041896	1861	1957	1937	1588	1232	928	2034	2611	2519	1228	1694	1991
ENSDARG00000041904	154.31	188.668	175.111	172.451	158.979	86.503	196.312	295.394	287.118	46	145.507	55.027
ENSDARG00000041908	755	1202	1054	912	535	751	1079	941	1150	686	650	933
ENSDARG00000041910	35	75	24	47	77	48	32	49	42	0	19	37
ENSDARG00000041911	140.279	74.044	230.868	517.921	528.404	150.742	376.83	262.028	198.009	756.495	274.65	334.299
ENSDARG00000041915	3	11	0	38	32	0	0	0	21	0	0	0
ENSDARG00000041917	0	14	0	0	0	0	0	7	8	0	0	0
ENSDARG00000041919	0	42.981	21	0	0	5	0	24	31.979	75	34	47.551
ENSDARG00000041921	2097	2689	2117	2572	1255	1561	2285.001	2618	2586.999	1342	1545	2065
