gene_id	mut_hf_R1	mut_hf_R2	mut_hf_R3	mut_nf_R1	mut_nf_R2	mut_nf_R3	wt_hf_R1	wt_hf_R2	wt_hf_R3	wt_nf_R1	wt_nf_R2	wt_nf_R3
ENSDARG00000105592	12774	14917	10329	15025	9121	12104	9887	10628	13389	11603	7993	12597
ENSDARG00000105594	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105598	0	0	0	0	0	0	0	0	15	0	0	0
ENSDARG00000105600	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105601	12.252	0	0	0	0	0	0	0	9.641	0	0	0
ENSDARG00000105602	0	23.682	10.502	0	58.641	0	18.16	67.288	13.745	0	9.364	13.006
ENSDARG00000105603	0	2.853	0	0	0	0	0	0	34.07	0	0	0
ENSDARG00000105604	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105606	0	0	0	0	0	9	0	0	0	0	0	0
ENSDARG00000105607	91.498	98.848	46.336	64.08	110.726	21.009	144.046	76.967	122.236	114.457	33.439	96
ENSDARG00000105608	441.503	444.279	282.429	327.177	294.283	360.517	200.008	441.548	249.134	299.705	341.112	246.949
ENSDARG00000105611	0	0	0	0	0	0	0	0	6	0	0	0
ENSDARG00000105612	11	0	0	33	0	0	0	1	17	0	0	0
ENSDARG00000105613	9	4.93	1.222	0	70.998	10	0	0	0	44	0	0
ENSDARG00000105614	7	0	0	0	0	0	0	14	0	0	0	0
ENSDARG00000105615	0	9	8	27	20	64	0	0	0	90	55	55
ENSDARG00000105616	6	5	1	102	0	10	36	17	0	0	8	12
ENSDARG00000105617	0	8	0	0	54	10	0	0	0	0	0	0
ENSDARG00000105620	41.004	3	1.015	29.272	60.015	21.001	21.012	17.001	20.019	0	6.002	3.004
ENSDARG00000105621	101.549	96.857	124.291	29.78	37.496	13.554	62.718	92.023	44.42	21.804	0	47.432
ENSDARG00000105623	0	8	0	0	0	0	0	0	0	14	0	1
ENSDARG00000105625	13	18	6	0	0	29	10	10	0	0	0	31
ENSDARG00000105626	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105627	0	8.081	0	0	0	0	14.121	0	0	0	0	0
ENSDARG00000105628	0	0	0	0	0	0	0	0	0	0	0	0
