Phase,BaselineProp,PropMean.t0_UF,PropMean.t1_15HF,PropMean.t2_30HF,PropMean.t3_60HF,PropMean.t4_120HF,PropMean.t5_240HF,Fstatistic,P.Value,FDR,cluster
G2M,0.01610824742268041,0.014508180563768975,0.03034710387651565,0.030286082299505114,0.025352571940979857,0.013931888544891628,0.00666666666666666,0.44616011287372026,0.81637475550391,0.9943435026814216,ConePhotGr_208
G1,0.9742268041237113,0.9735870575314692,0.9674883939589825,0.9579350552504913,0.9679543575361623,0.9589783281733743,0.979420289855072,0.08678477372458579,0.9943435026814216,0.9943435026814216,ConePhotGr_208
S,0.007312614259597806,0.004694835680751175,0.012820512820512824,-0,-0,0.026315789473684202,0.011904761904761899,1.0725740277885276,0.3732170166372706,0.6591140730053475,Roofplate_133
G1,0.9908592321755028,0.9906103286384977,0.9871794871794874,0.9999999999999999,0.9999999999999999,0.9736842105263154,0.9880952380952378,0.8338716981073474,0.5252992239859742,0.6591140730053475,Roofplate_133
G2M,0.0018281535648994515,0.004694835680751175,-0,-0,5.007715329123864e-19,-0,0,0.6531176632043607,0.6591140730053475,0.6591140730053475,Roofplate_133
S,0.011042944785276074,0.006535947712418303,-0,0.03256578947368421,0.020235417603838655,0.016409266409266404,-2.4532694666933983e-18,0.8684612208243858,0.5191332805177524,0.9036122803287618,RetinalRod_259
G2M,0.0638036809815951,0.06563457506853734,0.11815818281335524,0.05888157894736841,0.06153846153846155,0.028314028314028305,0.047727272727272715,0.6442398319752223,0.6688604486262969,0.9036122803287618,RetinalRod_259
G1,0.9251533742331288,0.9278294772190445,0.8818418171866451,0.9085526315789474,0.9182261208576998,0.955276705276705,0.9522727272727268,0.305973400967011,0.9036122803287618,0.9036122803287618,RetinalRod_259
G1,0.9555273189326556,0.9489611562782296,0.987175083018436,0.9895833333333333,0.964264264264264,0.9122936320754715,0.9673913043478256,1.8117262998437416,0.10674827365326162,0.13902072232988627,LatLineNMa_125
S,0.029224904701397714,0.03477868112014454,0.008759876331157681,0.010416666666666663,0.031231231231231237,0.05173938679245282,0.021739130434782598,1.7197871283103332,0.12617088445217306,0.13902072232988627,LatLineNMa_125
G2M,0.015247776365946633,0.016260162601626018,0.004065040650406506,-0,0.004504504504504506,0.03596698113207546,0.010869565217391295,1.6657636595586824,0.13902072232988627,0.13902072232988627,LatLineNMa_125
S,0.04,0.02469135802469136,-0,0.06249999999999999,0.06149425287356322,0.09999999999999994,0.027863777089783267,0.8837655568553817,0.49461096603562615,0.8136590293667609,Cornea_95
G2M,0.0225,0.02204585537918871,0.03422619047619048,0.03869047619047617,0.005747126436781606,0.033333333333333305,0.013157894736842096,0.7660503651030516,0.5762033217262358,0.8136590293667609,Cornea_95
G1,0.9375,0.95326278659612,0.9657738095238098,0.8988095238095236,0.9327586206896549,0.8666666666666664,0.9589783281733745,0.4483885274241486,0.8136590293667609,0.8136590293667609,Cornea_95
S,0.012054244098442994,0.018765750286368846,0.009795509795509798,0.015009315323707495,3.129822080702415e-18,0.0038759689922480585,0.011494252873563213,2.313010769465867,0.10122642871085476,0.3036792861325643,MULTMusPan_239
G2M,0.013561024610748368,0.010327176403207333,0.013701201201201203,0.015847694457382388,0.018438027429331982,0.010869565217391297,-1.2266347333466992e-18,0.5740213659621217,0.7191580593673851,0.9071093305898232,MULTMusPan_239
G1,0.9743847312908086,0.970907073310424,0.9765032890032892,0.96914299021891,0.9815619725706678,0.9852544657903606,0.9885057471264368,0.2956517554336261,0.9071093305898232,0.9071093305898232,MULTMusPan_239
S,0.015313935681470138,-0,0.005376344086021507,0.007352941176470587,0.04112388250319284,0.013157894736842101,0.009090909090909084,2.5256950600264827,0.06839469798618002,0.20518409395854004,Iridophore_142
G1,0.9693721286370597,0.9854354354354357,0.9887757026976044,0.9817774936061379,0.9457215836526183,0.9243421052631576,0.9596590909090905,1.753896365106289,0.1751082467126635,0.2626623700689953,Iridophore_142
G2M,0.015313935681470138,0.01456456456456457,0.0058479532163742695,0.010869565217391295,0.013154533844189019,0.06249999999999997,0.031249999999999997,0.6489447425190388,0.6660883017105936,0.6660883017105936,Iridophore_142
S,0.01646090534979424,0.011111111111111115,-0,0.03393425238600212,0.017543859649122816,0.061890838206627656,-1.471961680016039e-17,2.291778033602434,0.04300357027598059,0.12901071082794177,Leptomenig_113
G1,0.9814814814814815,0.9888888888888889,0.9914529914529916,0.9660657476139978,0.9824561403508774,0.9381091617933721,0.9999999999999999,0.751338979441551,0.5849499858241515,0.8774249787362272,Leptomenig_113
G2M,0.00205761316872428,-0,0.008547008547008548,-0,-2.503857664561932e-19,-0,0,0.12095569730642183,0.9877834123911703,0.9877834123911703,Leptomenig_113
S,0.03759398496240601,0.02234432234432235,0.012048192771084338,0.04894374846475067,0.033893985728848115,0.12459893048128337,0.02757177033492821,1.999842403501892,0.07525757635909039,0.22577272907727117,MusProMyot_54
G1,0.9398496240601504,0.9604395604395606,0.9747914735866545,0.9395725865880619,0.9390870993317474,0.8606951871657751,0.9294856459330141,0.9628081125752936,0.43899404994282626,0.6584910749142394,MusProMyot_54
G2M,0.022556390977443608,0.017216117216117217,0.013160333642261355,0.01148366494718742,0.027018914939404247,0.014705882352941166,0.0429425837320574,0.6211712694485477,0.683669860363812,0.683669860363812,MusProMyot_54
S,0.030360531309297913,0.020833333333333332,-0,-0,0.028735632183908056,0.07443884562528627,0.019999999999999973,1.941833894787916,0.08390789701937573,0.2517236910581272,OticVesicl_246
G1,0.9639468690702088,0.9791666666666667,0.9904761904761906,1,0.9712643678160918,0.9120476408611998,0.9599999999999994,1.1729413621240632,0.3196069647504627,0.3916309504965513,OticVesicl_246
G2M,0.0056925996204933585,-0,0.009523809523809525,-0,-1.251928832280966e-18,0.01351351351351351,0.019999999999999993,1.0405670131217555,0.3916309504965513,0.3916309504965513,OticVesicl_246
S,0.014492753623188406,0.012447775337037519,0.002801120448179272,0.018137254901960775,0.007734330928416617,0.041940789473684195,0.024696969696969683,2.3269647391981008,0.04014903517554497,0.1204471055266349,FinPerider_29
G2M,0.01288244766505636,0.006116207951070338,0.012268907563025214,0.02647058823529411,0.009352453905762897,0.007812499999999994,0.011363636363636359,1.2680474905796788,0.27450553503169467,0.411758302547542,FinPerider_29
G1,0.9726247987117552,0.9814360167118923,0.9849299719887957,0.955392156862745,0.9829132151658204,0.9502467105263155,0.9639393939393937,0.9133371279884874,0.47101100936638457,0.47101100936638457,FinPerider_29
G2M,0.013235294117647059,0.020833333333333336,0.013071895424836605,-0,0.004115226337448562,0.024399765762248678,-4.906538933386797e-18,1.1010833075038342,0.35735230341560287,0.6310879681581055,ConePhotGr_198
S,0.004411764705882353,0.0026455026455026462,-0,0.011363636363636359,5.007715329123864e-19,0.0053191489361702066,-6.133173666733496e-19,0.7338719641014857,0.5979302146638662,0.6310879681581055,ConePhotGr_198
G1,0.9823529411764705,0.9765211640211642,0.9869281045751637,0.9886363636363633,0.9958847736625516,0.9702810853015805,0.9999999999999996,0.6898398700130857,0.6310879681581055,0.6310879681581055,ConePhotGr_198
G2M,0.03856749311294766,0.06315846073258473,0.03233392122281012,-0,0.014492753623188411,0.052631578947368404,0.05314685314685312,2.212687789132854,0.08220055179353958,0.24660165538061873,Mesenchyme_235
G1,0.9462809917355371,0.9104484731169371,0.9635508524397415,0.9838709677419353,0.8949275362318841,0.8947368421052627,0.9391608391608387,1.1768295804748339,0.34620057529784104,0.4811100253837157,Mesenchyme_235
S,0.015151515151515152,0.026393066150478563,0.004115226337448556,0.016129032258064512,0.09057971014492758,0.0526315789473684,0.0076923076923076745,0.9233159755403166,0.4811100253837157,0.4811100253837157,Mesenchyme_235
G1,0.9270833333333334,0.9548559053806434,0.9704065040650408,0.8885964912280703,0.9666666666666667,0.8749999999999994,0.9999999999999996,8.908419508477884,1.4800845453202843e-4,4.440253635960853e-4,ConePhoImm_197
S,0.018229166666666668,0.0038314176245210735,0.008130081300813009,0.04210526315789473,0.008333333333333333,0.06249999999999999,-1.9626155733547187e-17,5.783626660785779,0.001898523559034459,0.0028477853385516887,ConePhoImm_197
