gene_cluster,response_groups
f13a1b_CartmbCran-247,5
myhz2_CartmbCran-247,4
fbxo32_CephCraMus-249,4
chrnb1l_CephCraMus-252,4
tnnt3b_CephCraMus-252,3
arhgef9a_CephCraMus-252,1
myhz1.2_CephCraMus-252,3
myhz1.1_CephCraMus-252,3
zmynd19_CephCraMus-252,5
mylpfa_CephCraMus-252,3
pvalb1_CephCraMus-252,3
myh7_CephCraMus-252,5
kcnab1b_CephCraMus-252,5
mylz3_CephCraMus-252,3
METTL21C.1_CephCraMus-252,5
si:dkey-7c18.24_CephCraMus-252,1
hsp90aa1.1_CephCraMus-252,2
unc45b_CephCraMus-252,5
vgll2b_CephCraMus-252,1
lpin1_CephCraMus-252,4
btbd11b_CephCraMus-252,1
pvalb2_CephCraMus-252,3
rbfox3a_CephCraMus-252,1
ccnd2a_CephCraMus-252,4
myhz1.3_Cholangio-52,3
myhz1.1_Cholangio-52,3
atp2a1_Cholangio-52,3
mylz3_Cholangio-52,3
ttn.1_Cholangio-52,3
ttn.2_Cholangio-52,3
prss1_Cholangio-52,4
nrxn3b_Cholangio-52,6
pbx3b_Cholangio-52,5
atp2a1l_Cholangio-52,3
smyhc1_Cholangio-52,2
ntrk3a_Cholangio-52,4
tnni2a.4_Cholangio-52,3
myhz2_CNSNeuron-171,3
irg1l_CNSNeuron-172,5
zgc:153932.1_CNSNeuron-172,3
myhz1.1_ConePhoImm-197,3
mcama_ConePhoImm-197,5
ank1a_ConePhoImm-197,5
hsp70.3_ConePhoImm-197,1
basp1_ConePhoImm-197,5
pax3a_ConePhoImm-197,5
tenm3_ConePhoImm-197,5
lef1_ConePhoImm-197,5
xpo1a_ConePhoImm-197,5
arhgap33_ConePhoImm-197,5
hsp70l_ConePhoImm-197,1
si:ch211-158d24.2_ConePhoImm-197,5
ebf3a_ConePhoImm-197,5
tcf7l2_ConePhoImm-197,5
rbfox3a_ConePhoImm-197,5
ebf3a.1_ConePhoImm-197,5
robo1_ConePhoImm-197,5
ebf1b_ConePhoImm-197,5
opn1sw1_ConePhoImm-199,3
pcxb_ConePhoImm-199,6
foxo1a_ConePhoImm-199,4
rhcga_ConePhoImm-200,6
myhz1.2_ConePhoImm-200,4
myhz1.1_ConePhoImm-200,3
mylpfa_ConePhoImm-200,3
hs3st4_ConePhoImm-200,4
sec23b_ConePhoImm-200,6
ttn.2_ConePhoImm-200,3
neurod1_ConePhoImm-200,4
hsp90aa1.2_ConePhoImm-200,2
actc1b_ConePhoImm-200,3
zgc:92242_ConePhoImm-200,6
si:dkey-202l22.6_ConePhoImm-200,1
klf4_ConePhoImm-200,6
midn_ConePhoImm-200,6
myhz2_ConePhoImm-209,3
myhz1.2_ConePhoImm-209,3
myhz1.1_ConePhoImm-209,3
mylpfa_ConePhoImm-209,3
ttn.1_ConePhoImm-209,3
ttn.2_ConePhoImm-209,3
foxo1a_ConePhoImm-209,6
ctrb1_ConePhoRed-203,4
myhz2_ConePhoRed-203,3
myhz1.3_ConePhoRed-203,4
myhz1.2_ConePhoRed-203,3
myhz1.1_ConePhoRed-203,3
ckma_ConePhoRed-203,4
mylz3_ConePhoRed-203,3
ttn.1_ConePhoRed-203,3
ttn.2_ConePhoRed-203,3
hsp90aa1.2_ConePhoRed-203,5
foxo1a_ConePhoRed-203,4
adamtsl3_ConePhoRed-206,6
myhz1.2_ConePhoRed-206,3
myhz1.1_ConePhoRed-206,3
gpr146_ConePhoRed-206,4
mylz3_ConePhoRed-206,3
neb_ConePhoRed-206,3
ttn.1_ConePhoRed-206,3
ttn.2_ConePhoRed-206,3
hsp90aa1.2_ConePhoRed-206,2
atp2a1l_ConePhoRed-206,4
foxo1a_ConePhoRed-206,6
abcg1_ConePhoRed-206,4
smyhc2_ConePhoRed-206,4
cela1.6_ConePhoRed-206,4
pkp3a_ConePhoRed-206,6
ano2b_ConePhoRed-207,5
tpma_ConePhoRed-207,3
serinc4_ConePhoRed-207,4
zgc:73226_ConePhoRed-207,6
ckma_ConePhoRed-207,3
mef2cb_ConePhoRed-207,5
hsp70.2_ConePhoRed-207,1
gpr146_ConePhoRed-207,4
ttyh2l_ConePhoRed-207,5
pvalb1_ConePhoRed-207,3
tgfbr3_ConePhoRed-207,5
rgs20_ConePhoRed-207,4
cacnb2b_ConePhoRed-207,5
pfkpb_ConePhoRed-207,5
per2_ConePhoRed-207,4
tcf3a_ConePhoRed-207,4
mylz3_ConePhoRed-207,3
ankrd10a_ConePhoRed-207,5
ucp1_ConePhoRed-207,4
neb_ConePhoRed-207,3
ttn.1_ConePhoRed-207,3
ttn.2_ConePhoRed-207,3
bach2b_ConePhoRed-207,5
hsp90aa1.2_ConePhoRed-207,5
ela2l_ConePhoRed-207,4
FP017274.1_ConePhoRed-207,5
lpin1_ConePhoRed-207,4
aipl2_ConePhoRed-207,1
hk1_ConePhoRed-207,5
unc5b_ConePhoRed-207,5
actn1_ConePhoRed-207,5
atp2a1l_ConePhoRed-207,3
slc16a3_ConePhoRed-207,5
mylipa_ConePhoRed-207,4
nme2b.2_ConePhoRed-207,3
foxo1a_ConePhoRed-207,4
abcg1_ConePhoRed-207,4
egln2_ConePhoRed-207,5
zbtb46_ConePhoRed-207,5
eno1a_ConePhoRed-207,5
plekhg5b_ConePhoRed-207,5
elovl4b_ConePhoRed-207,5
egln1b_ConePhoRed-207,5
ppm1e_ConePhoRed-207,1
adarb1a_ConePhoRed-207,4
hbp1_ConePhoRed-207,4
gngt2a_ConePhotBl-212,4
ankrd10a_ConePhotBl-212,5
neb_ConePhotBl-212,3
ttn.1_ConePhotBl-212,3
ttn.2_ConePhotBl-212,3
apoa4b.2_ConePhotBl-212,5
hsp90aa1.2_ConePhotBl-212,5
egln3_ConePhotBl-212,5
lpin1_ConePhotBl-212,6
hk1_ConePhotBl-212,5
mylipa_ConePhotBl-212,4
foxo1a_ConePhotBl-212,6
abcg1_ConePhotBl-212,4
anxa4_ConePhotBl-212,2
KCNB2_ConePhotBl-212,5
opn1mw1_ConePhotGr-193,3
myhz2_ConePhotGr-198,3
myhz1.3_ConePhotGr-198,3
myhz1.2_ConePhotGr-198,3
mylpfa_ConePhotGr-198,5
tnrc6c1_ConePhotGr-198,5
neb_ConePhotGr-198,3
ttn.1_ConePhotGr-198,3
ttn.2_ConePhotGr-198,3
actc1b_ConePhotGr-198,3
slco3a1_ConePhotGr-198,5
foxo1a_ConePhotGr-198,6
pnp5a_ConePhotGr-208,6
myhz1.3_ConePhotGr-208,3
hsp70.2_ConePhotGr-208,1
hsp70.3_ConePhotGr-208,1
baiap2a_ConePhotGr-208,5
agxtb_ConePhotGr-208,6
ttn.2_ConePhotGr-208,3
hsp90aa1.2_ConePhotGr-208,1
hsp70l_ConePhotGr-208,1
hpdb_ConePhotGr-208,6
lpin1_ConePhotGr-208,6
tat_ConePhotGr-208,6
mylipa_ConePhotGr-208,4
foxo1a_ConePhotGr-208,6
abcg1_ConePhotGr-208,4
lyz_ConePhotGr-208,6
smyhc1_ConePhotGr-208,4
gpc1a_ConePhotGr-208,5
ano2b_ConePhotGr-210,5
myhz2_ConePhotGr-210,3
myhz1.3_ConePhotGr-210,3
myhz1.2_ConePhotGr-210,3
myhz1.1_ConePhotGr-210,3
ttyh2l_ConePhotGr-210,5
baiap2a_ConePhotGr-210,5
slc44a5a_ConePhotGr-210,3
per2_ConePhotGr-210,4
ankrd10a_ConePhotGr-210,5
rnf24_ConePhotGr-210,5
neb_ConePhotGr-210,3
myl1_ConePhotGr-210,3
ttn.1_ConePhotGr-210,3
ttn.2_ConePhotGr-210,3
hsp90aa1.2_ConePhotGr-210,1
hsp70l_ConePhotGr-210,1
aipl2_ConePhotGr-210,1
slco3a1_ConePhotGr-210,5
atp2a1l_ConePhotGr-210,4
mylipa_ConePhotGr-210,4
foxo1a_ConePhotGr-210,6
abcg1_ConePhotGr-210,4
ppp2r2bb_ConePhotGr-210,5
smyhc1_ConePhotGr-210,3
cacna2d4b_ConePhotGr-210,5
myhz1.2_ConePhotGr-211,3
myhz1.1_ConePhotGr-211,3
camk1da_ConePhotUV-213,4
tpma_ConePhotUV-213,3
tnnt3b_ConePhotUV-213,3
drd4b_ConePhotUV-213,4
pcdh7b_ConePhotUV-213,6
taok3a_ConePhotUV-213,5
histh1l_ConePhotUV-213,4
myhz1.2_ConePhotUV-213,3
ak1_ConePhotUV-213,3
atp2a1_ConePhotUV-213,3
gpr146_ConePhotUV-213,4
pvalb1_ConePhotUV-213,3
rgs20_ConePhotUV-213,4
pfkpb_ConePhotUV-213,5
per2_ConePhotUV-213,4
mylz3_ConePhotUV-213,3
rnf24_ConePhotUV-213,5
neb_ConePhotUV-213,3
ttn.1_ConePhotUV-213,3
ttn.2_ConePhotUV-213,3
apoa4b.2.1_ConePhotUV-213,3
prss1_ConePhotUV-213,4
afp4.1_ConePhotUV-213,3
slc25a24_ConePhotUV-213,6
BX088686.1_ConePhotUV-213,4
esrrgb_ConePhotUV-213,4
hsp90aa1.2_ConePhotUV-213,1
plch2a_ConePhotUV-213,4
actc1b_ConePhotUV-213,3
cnksr1_ConePhotUV-213,6
lpin1_ConePhotUV-213,4
CR383676.3_ConePhotUV-213,5
ly6pge_ConePhotUV-213,5
herc4_ConePhotUV-213,2
eef2k_ConePhotUV-213,5
atp2a1l_ConePhotUV-213,4
hivep1_ConePhotUV-213,4
mylipa_ConePhotUV-213,4
trioa_ConePhotUV-213,5
nme2b.2_ConePhotUV-213,3
foxo1a_ConePhotUV-213,6
abcg1_ConePhotUV-213,4
egln2_ConePhotUV-213,5
auts2b_ConePhotUV-213,4
ckmb_ConePhotUV-213,3
ctrl_ConePhotUV-213,4
eno1a_ConePhotUV-213,5
actn3a_ConePhotUV-213,3
ppp2r2bb_ConePhotUV-213,1
ppm1e_ConePhotUV-213,1
smyhc1_ConePhotUV-213,3
myhz1.1.1_ConePhotUV-213,4
cela1.6_ConePhotUV-213,4
dgkzb_ConePhotUV-213,4
ccnd2a_ConePhotUV-213,4
cacna2d4b_ConePhotUV-213,5
ldha_ConePhotUV-213,5
tnni2a.4_ConePhotUV-213,3
mt-co1_ConePhotUV-213,4
zgc:136461_ConRetBPON-220,4
tnnt3b_ConRetBPON-220,3
ela3l_ConRetBPON-220,4
myhz2_ConRetBPON-220,3
myhz1.3_ConRetBPON-220,3
myhz1.2_ConRetBPON-220,3
myhz1.1_ConRetBPON-220,3
atp2a1_ConRetBPON-220,3
zgc:100868_ConRetBPON-220,5
mylz3_ConRetBPON-220,3
ucp1_ConRetBPON-220,4
neb_ConRetBPON-220,3
ttn.1_ConRetBPON-220,3
ttn.2_ConRetBPON-220,3
prss1_ConRetBPON-220,4
ela2l_ConRetBPON-220,4
ela2_ConRetBPON-220,4
lpin1_ConRetBPON-220,1
atp2a1l_ConRetBPON-220,4
ctrl_ConRetBPON-220,4
eno3_ConRetBPON-220,3
smyhc1_ConRetBPON-220,3
myhz1.1.1_ConRetBPON-220,4
cela1.6_ConRetBPON-220,4
cpa5_ConRetBPON-220,4
lpin1_Cornea-64,4
mbpa_Cornea-64,4
myhz1.3_Cornea-94,3
myhz1.1_Cornea-94,3
myhz2_Cornea-95,4
myhz1.3_Cornea-95,3
myhz1.2_Cornea-95,3
myhz1.1_Cornea-95,3
ttn.1_Cornea-95,3
sesn1_Cornea-95,4
csf1b_Cornea-95,4
lpin1_Cornea-95,4
kcnq5a_Cornea-95,6
kirrel3a_Cornea-95,5
muc5.1_Cornea-95,6
mt-co1_Cornea-95,4
rhcga_CraniaCart-240,6
c6ast4_CraniaCart-240,4
FP016234.1_CraniaCart-240,5
amy2a_CraniaCart-240,4
rorc_CraniaCart-240,2
apoa4b.2_CraniaCart-240,3
lpin1_CraniaCart-240,4
ulk2_CraniaCart-240,4
tnnc2_CraniaCart-240,3
cspg4_CraniaCart-240,5
CU929451.2_CraniaCart-240,5
cpa5_CraniaCart-240,4
myhz1.1_DorsalHabG-181,3
ndrg1a_EnBestOtop-17,5
tpma_EnMoNorGan-50,3
myhz2_EnMoNorGan-50,3
myhz1.3_EnMoNorGan-50,3
pvalb1_EnMoNorGan-50,3
brinp2_EnMoNorGan-50,6
ttn.1_EnMoNorGan-50,3
